ax,ay,az,gx,gy,gz,label
0.043,0.154,1.610,9.191,156.374,-44.214,down
-0.150,-0.053,0.853,-22.305,-7.771,31.023,down
0.168,-0.019,1.277,-41.351,69.771,0.405,down
-0.244,-0.034,0.736,-46.008,-190.855,139.053,down
0.484,-0.122,1.302,-100.916,152.023,-19.374,down
-0.100,-0.349,1.055,-62.519,-66.427,164.115,down
-0.416,-0.217,1.585,-126.893,58.779,-57.382,down
0.201,-0.534,0.213,-41.687,-59.229,38.191,down
-0.213,-0.318,1.108,-230.916,121.313,-90.901,down
-0.191,-0.349,0.847,35.565,5.458,-23.153,down
-0.224,-0.861,-0.125,14.397,250.130,-2.359,down
-0.095,-0.412,1.399,162.450,-197.237,135.947,down
-0.222,-0.555,0.501,-41.557,-106.183,10.191,down
-0.229,-0.493,1.476,71.527,-102.260,31.511,down
0.049,-0.460,0.948,-106.443,104.771,-162.527,down
0.404,-0.629,0.503,84.664,-250.137,38.794,down
0.077,-0.315,0.942,37.954,40.656,3.954,down
0.539,-0.518,1.088,-84.084,39.588,0.908,down
0.019,-0.454,0.680,-58.748,-11.214,-93.710,down
0.507,-0.567,0.789,-111.008,151.130,-91.405,down
0.398,-0.540,0.881,-36.321,-11.542,23.183,down
0.100,-0.725,0.671,-64.305,81.603,2.466,down
0.107,-0.715,0.722,-80.840,4.573,-9.664,down
0.196,-0.712,0.624,-35.069,17.534,16.282,down
0.046,-0.738,0.487,-3.916,18.458,-4.931,down
0.172,-0.731,0.723,6.611,28.397,-14.275,down
-0.033,-0.645,0.549,75.267,-3.588,-19.305,down
0.222,-0.681,0.722,0.702,23.885,-30.695,down
0.354,-0.724,0.775,17.878,6.237,8.985,down
0.114,-0.687,0.797,-4.359,10.641,-14.901,down
0.100,-0.714,0.720,-0.099,-22.489,1.618,down
0.237,-0.740,0.558,-20.771,-15.000,-15.000,down
0.231,-0.750,0.618,-54.008,-8.527,-18.916,down
0.250,-0.735,0.741,-19.420,-11.008,-3.534,down
0.193,-0.753,0.590,-15.412,-8.206,0.290,down
0.185,-0.773,0.590,3.679,-9.244,-4.260,down
0.262,-0.762,0.531,-7.313,0.802,-0.191,down
0.249,-0.762,0.637,0.435,0.985,3.130,down
0.243,-0.764,0.612,-3.817,8.252,-3.679,down
0.237,-0.760,0.572,-7.168,5.267,-0.840,down
0.250,-0.766,0.565,-15.305,10.412,-4.038,down
0.281,-0.779,0.606,-10.237,4.336,-0.244,down
0.240,-0.767,0.599,-10.489,8.939,2.786,down
0.249,-0.801,0.693,-13.031,-11.603,-0.634,down
0.266,-0.774,0.574,-7.618,-1.885,0.992,down
0.250,-0.832,0.625,-29.847,7.687,-3.046,down
0.271,-0.855,0.566,-15.244,-9.794,6.992,down
0.310,-0.823,0.248,-1.107,2.344,15.695,down
-0.051,-0.661,-0.016,21.954,1.023,12.397,down
-0.535,0.319,-1.757,250.130,227.023,-89.382,down
0.562,2.000,1.587,250.130,-153.137,-175.832,down
0.400,1.392,2.000,250.130,84.901,126.542,down
0.123,1.208,2.000,46.427,75.527,-66.664,down
0.419,0.755,0.645,4.489,-47.725,-6.344,down
0.382,0.668,0.363,-67.580,72.427,-13.954,down
0.214,0.651,0.803,-25.481,31.939,-16.840,down
0.220,0.645,0.829,20.382,8.237,5.756,down
0.181,0.663,0.775,18.427,14.389,-4.450,down
0.205,0.661,0.756,-17.878,-8.702,0.115,down
0.155,0.688,0.858,-15.672,-8.176,2.649,down
0.244,0.635,0.684,0.313,-19.221,-0.466,down
