ax,ay,az,gx,gy,gz,label
0.152,-0.273,1.465,109.603,-35.260,-11.313,idle
0.302,-0.289,0.917,-79.252,23.206,-55.473,idle
-0.021,-0.205,0.802,88.321,-126.466,4.282,idle
0.346,-0.129,0.918,-92.031,86.504,-43.695,idle
0.425,0.157,1.514,225.977,-125.443,148.427,idle
0.381,-0.169,0.993,12.427,-40.809,18.336,idle
0.270,-0.219,0.862,-47.130,-7.076,49.542,idle
0.156,-0.121,1.036,-28.824,-29.908,40.557,idle
0.329,-0.206,1.106,-11.534,-20.649,27.611,idle
0.287,-0.218,0.897,-13.260,-9.977,10.229,idle
0.375,-0.251,0.902,9.611,9.275,-3.237,idle
0.342,-0.260,0.927,26.595,20.779,20.878,idle
0.246,-0.210,1.019,3.519,47.710,8.176,idle
0.211,-0.262,1.002,-1.229,29.397,-21.359,idle
0.290,-0.233,0.940,1.740,16.153,-0.664,idle
0.217,-0.259,0.935,10.252,4.145,-7.885,idle
0.281,-0.229,0.989,2.725,2.740,-0.458,idle
0.252,-0.240,0.985,-3.893,0.145,2.870,idle
0.244,-0.231,0.959,1.420,-7.817,-5.389,idle
0.279,-0.236,0.994,-3.664,-11.916,-6.733,idle
0.281,-0.233,0.948,-6.557,-18.519,-1.626,idle
0.274,-0.242,0.924,-2.214,-2.168,0.397,idle
0.284,-0.241,0.932,4.939,-8.588,-5.840,idle
0.297,-0.237,0.940,0.802,-2.656,-4.221,idle
0.315,-0.221,0.924,0.221,-2.206,-0.863,idle
0.297,-0.243,0.945,5.053,1.847,-1.000,idle
0.318,-0.235,0.945,3.748,-0.412,-1.344,idle
0.298,-0.236,0.932,5.641,1.130,-1.031,idle
0.328,-0.228,0.942,6.618,2.168,-4.847,idle
0.312,-0.225,0.953,3.710,1.710,-3.000,idle
0.329,-0.217,0.933,4.382,0.595,0.595,idle
0.310,-0.227,0.941,2.725,2.282,1.573,idle
0.332,-0.224,0.928,4.427,2.092,-1.550,idle
0.371,-0.229,0.935,3.107,2.145,-0.725,idle
0.313,-0.225,0.920,3.481,-0.977,0.725,idle
0.327,-0.218,0.948,3.153,2.290,0.740,idle
0.317,-0.217,0.937,1.626,1.931,2.740,idle
