ax,ay,az,gx,gy,gz,label
0.068,-0.173,1.058,55.015,10.160,122.466,right
-0.411,-0.105,1.094,-15.282,43.481,59.435,right
0.011,-0.172,0.803,63.939,77.977,-5.618,right
-0.567,0.177,0.925,74.046,-38.176,28.466,right
-0.164,-0.064,1.083,-22.298,-15.710,35.450,right
-0.318,-0.032,1.101,-54.878,-46.656,73.069,right
-0.167,-0.196,0.690,-80.321,74.710,-91.947,right
-0.203,-0.252,0.670,-16.885,-53.962,16.496,right
-0.029,-0.169,1.157,34.939,19.870,6.595,right
-0.277,-0.105,1.433,-28.511,-22.038,10.038,right
-0.189,-0.178,0.881,-93.061,26.885,-38.962,right
-0.223,-0.264,0.826,-24.527,-16.519,-35.252,right
-0.016,-0.298,0.833,-5.786,25.901,-44.076,right
0.000,-0.342,0.826,52.214,3.519,-13.718,right
0.000,-0.135,1.080,45.817,-13.725,15.168,right
-0.205,-0.163,1.171,-9.954,19.176,22.313,right
-0.128,-0.237,0.956,0.137,17.573,6.817,right
-0.130,-0.324,0.947,-13.763,41.260,3.084,right
-0.220,-0.240,0.815,14.382,26.977,10.901,right
-0.285,-0.189,1.066,66.824,-10.840,14.664,right
-0.237,-0.203,0.946,38.702,47.321,-42.008,right
-0.246,-0.070,1.270,25.763,-9.351,-38.366,right
-0.266,-0.140,0.896,-2.313,38.183,-55.221,right
0.087,-0.078,1.086,-21.504,-9.710,3.458,right
-0.305,-0.148,0.893,25.931,-4.679,-4.649,right
-0.147,-0.139,1.016,-16.267,-31.634,12.748,right
-0.094,-0.169,0.918,-23.611,-21.015,35.229,right
-0.156,-0.119,1.082,15.672,-3.649,10.618,right
-0.117,-0.190,1.039,-37.504,17.939,-8.832,right
-0.190,-0.184,0.902,19.824,-14.893,18.656,right
-0.115,-0.169,1.077,1.939,23.458,15.565,right
-0.144,-0.161,0.947,5.924,0.267,20.901,right
-0.214,-0.139,1.103,15.366,3.267,7.817,right
-0.157,-0.167,0.927,-3.771,25.305,-11.366,right
-0.235,-0.135,1.058,8.534,-6.115,3.084,right
-0.186,-0.147,0.976,-1.740,-6.878,5.626,right
-0.183,-0.141,1.026,-0.565,9.718,-10.313,right
-0.110,-0.162,0.995,5.115,2.870,-4.053,right
-0.214,-0.150,0.993,0.328,4.145,0.031,right
-0.162,-0.162,0.994,3.427,-4.107,1.695,right
-0.184,-0.151,0.993,-2.107,0.527,1.527,right
-0.135,-0.159,0.948,13.649,-7.618,8.542,right
-0.178,-0.135,1.042,8.519,0.267,0.924,right
-0.154,-0.140,1.019,-10.282,0.855,-4.786,right
-0.124,-0.147,0.984,15.840,-12.015,17.221,right
0.030,-0.134,1.001,5.389,38.786,11.802,right
0.097,-0.126,1.026,5.565,48.649,73.053,right
-0.465,-0.089,1.016,-20.290,-27.626,109.084,right
-0.718,-0.065,0.759,4.779,-45.412,51.115,right
-2.000,0.401,0.565,87.893,-250.137,-142.969,right
0.341,2.000,0.966,-151.183,-83.015,-250.137,right
1.621,1.519,0.510,-126.824,1.176,-250.137,right
1.459,0.498,0.739,40.519,-47.122,-205.053,right
1.080,0.300,0.809,52.771,-30.214,-94.427,right
0.578,0.153,1.170,10.435,9.611,-14.344,right
0.249,0.143,1.157,5.542,-0.695,3.809,right
0.335,0.102,0.894,29.794,7.733,1.519,right
0.341,0.107,0.843,-0.885,2.840,-4.260,right
0.370,0.130,1.009,0.305,-1.511,-0.153,right
0.296,0.148,0.938,5.687,-7.351,11.901,right
0.395,0.130,0.972,14.519,-3.733,6.130,right
0.484,0.177,0.965,5.237,2.802,21.084,right
0.556,0.186,0.921,21.611,1.702,53.573,right
0.539,0.183,1.026,20.412,11.565,95.954,right
0.593,0.156,0.870,-27.107,35.145,143.992,right
0.598,0.132,0.904,12.802,45.595,190.901,right
0.155,0.168,0.883,62.176,17.298,226.229,right
0.129,0.073,1.202,-5.084,84.046,156.313,right
0.058,-0.007,0.865,-17.214,87.321,117.695,right
0.187,-0.054,0.843,37.710,57.260,137.214,right
-0.099,0.042,1.081,33.557,34.145,154.534,right
-0.175,0.016,1.102,-20.305,87.183,84.168,right
-0.013,-0.085,0.789,0.962,44.275,77.626,right
-0.197,0.044,1.124,49.511,-20.420,107.855,right
-0.165,-0.003,1.069,-12.580,56.870,45.160,right
-0.215,0.024,0.856,13.031,-9.382,78.618,right
-0.256,0.059,1.230,7.260,-21.191,62.641,right
-0.251,0.028,1.014,-49.023,27.031,-8.000,right
0.121,-0.095,1.004,-33.573,-2.221,35.847,right
-0.137,-0.022,1.104,3.298,-9.443,24.015,right
-0.287,-0.042,0.895,11.916,-17.008,-12.733,right
-0.887,0.042,0.709,98.832,-156.641,-49.153,right
-2.000,2.000,1.716,-250.137,8.252,-250.137,right
0.022,2.000,0.653,51.649,-61.183,-250.137,right
2.000,1.894,0.697,188.634,46.534,-250.137,right
0.647,0.846,1.728,105.252,-126.725,1.725,right
0.377,0.314,1.263,-42.328,37.321,-9.321,right
0.249,0.326,0.810,-41.359,-9.466,44.275,right
0.361,0.172,0.799,-43.466,39.580,-12.809,right
-0.091,0.237,0.947,-2.397,-18.084,33.985,right
0.311,0.196,0.959,-3.603,12.786,-1.405,right
0.234,0.211,0.961,-18.534,17.740,23.443,right
0.164,0.170,0.997,13.260,15.107,7.191,right
0.093,0.238,1.028,-17.450,5.168,35.473,right
0.288,0.213,0.920,22.962,16.679,15.328,right
0.205,-0.028,1.126,20.183,-25.275,61.359,right
0.228,0.206,1.021,-44.618,3.351,-20.389,right
0.172,0.138,1.034,-22.534,-48.176,30.618,right
0.504,0.117,0.960,-82.664,15.618,21.389,right
0.246,0.163,0.919,-15.321,-12.344,130.420,right
0.324,0.055,0.836,18.847,34.244,74.267,right
0.443,0.153,1.188,60.443,-11.115,172.527,right
0.249,0.113,0.959,-23.695,71.038,156.626,right
0.277,0.255,0.865,-61.336,110.412,250.130,right
-0.191,0.098,0.806,76.458,61.443,188.229,right
-0.324,0.143,1.101,35.718,85.641,244.038,right
-0.411,0.118,0.915,39.366,130.763,121.939,right
-0.847,0.197,0.783,68.977,-183.290,250.130,right
-0.184,0.195,1.125,20.641,68.046,-2.786,right
-0.280,0.125,0.969,-69.977,25.298,20.962,right
-0.032,0.027,1.001,-26.649,8.702,4.427,right
-0.227,0.045,0.892,33.450,-31.176,26.115,right
-0.302,0.167,1.506,-93.878,21.855,-39.710,right
0.257,-0.136,0.585,-48.420,90.473,-53.420,right
-0.702,0.140,1.064,44.992,-250.137,188.359,right
-2.000,0.554,2.000,-131.718,-250.137,73.366,right
-0.684,2.000,-0.355,-250.137,250.130,-250.137,right
2.000,1.984,0.556,-142.160,90.420,-250.137,right
0.274,0.680,1.011,250.130,-250.137,145.344,right
1.178,0.596,1.119,-132.580,234.122,-250.137,right
0.130,0.493,1.179,88.573,-102.969,83.389,right
0.341,0.204,0.600,-21.275,20.832,-2.359,right
0.129,0.338,1.011,4.893,3.924,-10.519,right
0.366,0.334,0.938,5.954,-7.069,3.718,right
0.199,0.311,0.872,9.191,14.832,-18.046,right
0.371,0.355,1.050,3.053,6.053,7.076,right
0.199,0.353,0.914,-21.595,59.908,-15.275,right
0.398,0.357,0.929,-3.214,41.099,11.939,right
0.178,0.376,1.063,-16.672,24.802,39.489,right
0.425,0.338,1.018,-13.450,27.641,54.183,right
0.327,0.393,1.244,-83.206,-11.763,117.137,right
0.216,0.221,0.916,-53.931,37.687,85.878,right
0.499,0.188,0.797,-71.908,26.931,165.466,right
0.264,0.222,0.714,9.687,5.298,239.855,right
-0.215,0.207,0.974,66.756,-27.374,246.908,right
0.032,0.098,0.992,1.664,66.015,147.176,right
0.039,0.094,0.852,79.038,62.550,107.336,right
0.018,0.205,1.325,62.298,29.435,173.656,right
-0.256,0.116,0.866,-1.107,88.924,76.832,right
-0.052,0.165,1.165,41.473,-10.450,106.687,right
-0.115,0.174,1.174,7.435,16.153,44.687,right
0.140,0.118,0.925,-27.855,37.160,43.763,right
-0.094,0.210,1.074,2.084,-17.626,78.412,right
-0.184,0.143,1.082,-36.672,38.885,17.122,right
-0.131,0.080,0.810,20.038,32.626,8.954,right
0.024,0.033,1.114,-30.626,-23.038,80.252,right
-0.062,0.122,0.960,6.000,27.824,-24.122,right
-1.610,0.355,1.595,105.626,-250.137,250.130,right
-0.070,2.000,0.457,-250.137,250.130,-250.137,right
1.372,1.456,-1.133,-135.779,-6.817,-250.137,right
0.076,0.835,1.408,105.649,-174.977,-119.931,right
1.984,0.384,1.917,131.267,-86.450,53.725,right
-0.266,0.182,0.124,-41.183,84.969,-57.924,right
-0.006,0.361,1.677,5.168,-29.198,37.244,right
0.232,0.223,0.632,16.878,-36.061,43.015,right
0.240,0.262,1.017,-12.305,22.847,-8.450,right
-0.054,0.318,1.111,3.229,-4.244,4.145,right
0.403,0.297,0.986,11.466,-17.076,33.634,right
0.121,0.319,1.042,-15.519,27.237,24.794,right
0.465,0.345,1.245,-7.855,5.069,59.992,right
0.274,0.291,0.787,-82.603,70.847,62.405,right
-0.021,0.314,1.358,-19.947,-59.290,202.122,right
0.476,0.040,0.766,-72.443,96.672,42.260,right
0.609,0.241,0.742,-4.588,6.260,247.344,right
-0.215,0.227,0.897,65.130,27.595,241.565,right
-0.095,0.148,0.958,52.359,52.542,166.977,right
-0.077,0.202,1.134,45.588,40.244,123.847,right
-0.018,0.175,0.867,44.374,48.145,112.443,right
-0.046,0.222,1.000,49.511,60.275,112.916,right
0.225,0.283,0.925,70.832,4.191,175.679,right
-0.263,0.445,1.156,59.504,-9.298,137.702,right
-0.229,0.350,0.919,-20.275,80.740,51.595,right
0.013,0.319,0.982,8.443,52.542,64.534,right
-0.413,0.342,0.886,16.427,23.489,10.160,right
