ax,ay,az,gx,gy,gz,label
-0.241,0.057,1.167,69.534,4.908,38.511,up
-0.271,0.073,1.094,7.679,14.672,-5.427,up
-0.101,0.047,0.938,23.000,30.809,-22.000,up
-0.150,0.080,1.008,38.916,-14.099,23.122,up
-0.255,0.113,0.987,32.298,13.519,-21.672,up
-0.056,0.144,1.069,29.954,-6.947,6.611,up
-0.209,0.146,0.987,11.664,9.672,7.794,up
-0.139,0.166,0.993,6.015,-0.916,14.145,up
-0.086,0.186,0.930,46.542,-0.588,33.656,up
-0.219,0.426,1.028,74.374,18.809,24.275,up
-0.244,0.347,1.365,-72.595,7.374,-5.137,up
-0.013,0.153,0.683,-38.313,27.260,-17.382,up
-0.177,0.177,0.801,59.473,1.336,16.145,up
-0.314,0.312,1.166,52.069,-17.489,-10.519,up
-0.182,0.308,0.987,26.282,85.969,-93.023,up
-0.097,0.313,1.035,1.145,-9.313,-14.023,up
-0.396,0.309,1.098,3.573,2.992,-19.275,up
-0.145,0.204,0.919,-88.023,31.611,-55.916,up
-0.077,0.157,0.823,3.885,-43.481,48.626,up
-0.483,0.215,1.040,-2.527,-29.924,13.176,up
-0.051,0.196,0.988,-4.588,34.870,-51.229,up
-0.183,0.176,0.948,-6.985,-44.229,45.214,up
-0.183,0.188,0.957,24.313,12.351,-6.412,up
-0.252,0.180,0.642,66.908,44.466,-13.008,up
-0.246,0.379,1.251,70.115,-14.382,20.580,up
-0.356,-0.147,0.908,-13.023,79.809,-61.290,up
-0.206,0.407,0.994,53.420,75.008,-75.061,up
-0.124,0.422,1.125,58.420,65.313,3.748,up
-0.335,0.316,1.035,-0.053,-12.382,91.435,up
-0.445,0.429,0.912,18.275,-21.779,74.206,up
-0.465,0.467,0.997,10.252,5.267,-4.298,up
-0.291,0.467,0.952,-22.176,-16.771,-17.229,up
-0.282,0.388,0.869,-27.290,-9.023,-15.038,up
-0.295,0.371,0.842,-12.031,-26.237,-10.427,up
-0.222,0.353,0.922,-18.748,-16.519,-9.573,up
-0.119,0.367,0.922,-10.191,-6.061,19.718,up
-0.207,0.340,0.951,-7.733,-47.298,57.763,up
-0.283,0.334,0.976,-7.069,-44.931,25.679,up
-0.169,0.327,0.957,-15.817,-33.176,2.107,up
-0.102,0.326,0.969,0.626,-15.069,-11.977,up
-0.078,0.315,0.955,-11.328,13.557,-20.740,up
-0.063,0.313,0.936,-0.443,7.832,4.412,up
