ax,ay,az,gx,gy,gz,label
-0.055,0.396,0.524,35.534,37.282,-25.137,up
-0.175,0.621,1.083,30.809,-40.870,61.756,up
-0.544,0.521,0.468,56.824,120.687,-97.137,up
-0.059,0.780,1.199,75.305,6.641,-35.863,up
-0.374,0.688,0.973,-67.443,-34.229,42.550,up
-0.208,0.568,0.820,17.962,-28.718,-13.718,up
-0.219,0.657,1.141,-123.282,-10.863,1.954,up
-0.136,0.572,0.363,-56.557,69.504,-20.885,up
-0.317,0.527,1.052,24.840,-85.473,78.947,up
-0.318,0.501,0.966,-59.794,48.412,-23.458,up
-0.217,0.395,0.780,-30.397,-30.550,29.817,up
-0.354,0.351,0.736,8.802,2.427,-25.008,up
-0.100,0.350,0.862,37.649,-24.710,0.427,up
-0.261,0.488,1.104,15.954,-21.733,22.038,up
-0.195,0.429,0.773,-9.298,1.313,-24.328,up
-0.149,0.503,1.000,13.573,-50.298,56.580,up
-0.332,0.402,0.787,-10.244,0.008,-30.565,up
0.135,0.478,0.910,52.901,-2.763,6.847,up
-0.303,0.521,1.070,-17.359,-28.084,15.977,up
-0.040,0.427,0.780,-15.168,-17.008,-2.443,up
-0.092,0.495,0.899,26.794,-46.237,12.687,up
-0.232,0.479,0.934,-5.924,-64.351,-5.298,up
-0.152,0.431,0.698,21.901,-71.481,-64.527,up
0.348,0.505,1.127,-27.916,-63.229,27.679,up
0.035,0.476,0.838,35.336,6.168,-16.618,up
0.082,0.507,0.904,-0.634,-11.481,2.786,up
0.021,0.527,1.014,13.443,-44.756,11.771,up
0.149,0.519,0.853,-18.832,9.511,-14.779,up
0.190,0.450,0.619,62.977,-9.069,14.061,up
-0.018,0.618,1.143,46.420,3.924,-8.107,up
0.107,0.563,0.741,-34.344,15.237,-14.626,up
0.118,0.603,0.993,55.969,-30.542,35.710,up
-0.010,0.601,0.916,-33.710,33.969,-23.137,up
0.135,0.545,0.747,16.855,-7.794,7.015,up
0.033,0.598,0.959,-3.885,8.115,-2.725,up
0.027,0.547,0.721,-0.061,-2.695,2.282,up
0.083,0.607,0.973,12.908,-12.672,10.031,up
0.096,0.565,0.805,-17.397,11.779,-8.374,up
0.118,0.575,0.857,12.687,4.237,1.969,up
0.053,0.575,0.858,-4.924,2.260,0.916,up
0.101,0.571,0.849,7.145,2.954,-0.725,up
0.090,0.574,0.885,-0.366,2.695,0.817,up
0.069,0.565,0.832,4.779,6.267,-2.855,up
0.063,0.568,0.861,-1.496,-3.489,4.069,up
0.116,0.574,0.857,4.824,7.496,-2.221,up
0.046,0.568,0.859,0.458,-3.664,2.992,up
0.078,0.562,0.826,1.168,5.031,-2.336,up
0.090,0.565,0.868,7.344,-3.542,5.061,up
0.087,0.583,0.823,13.046,12.519,-7.420,up
-0.042,0.972,1.524,135.550,-225.832,64.786,up
0.406,2.000,2.000,-250.137,-32.275,-70.748,up
-0.702,1.512,-2.000,-250.137,250.130,-250.137,up
0.755,-0.299,-0.994,-200.176,-24.901,-176.573,up
0.565,-0.365,0.608,-54.573,-200.542,213.099,up
-0.111,-0.656,0.304,0.939,30.351,25.550,up
-0.001,-0.601,0.334,-26.985,23.824,43.427,up
0.212,-0.658,0.641,220.672,61.000,-39.710,up
0.045,-0.516,1.192,-25.397,-49.328,96.557,up
0.159,-0.587,0.836,34.344,80.885,-81.427,up
0.219,-0.588,0.730,-10.382,-29.534,39.618,up
0.047,-0.542,1.009,23.489,-12.099,-10.794,up
0.204,-0.546,0.730,-16.870,-3.328,-13.214,up
0.256,-0.553,0.826,39.794,-18.046,-2.252,up
0.167,-0.490,0.982,-28.221,-17.893,12.725,up
0.262,-0.559,0.697,13.840,17.504,-14.443,up
0.113,-0.499,0.746,25.099,-58.038,53.321,up
0.046,-0.506,0.829,85.695,-10.069,-42.176,up
0.462,-0.407,1.149,-30.420,15.153,-33.977,up
0.222,-0.478,0.571,4.405,-22.137,12.053,up
0.233,-0.428,0.866,70.282,2.534,-10.954,up
0.294,-0.396,1.058,3.458,18.221,-5.588,up
0.206,-0.403,0.727,11.985,11.840,-2.099,up
0.187,-0.338,0.886,73.305,13.901,-19.298,up
0.246,-0.302,0.836,39.664,70.603,-45.878,up
0.379,-0.306,0.757,96.756,37.817,10.328,up
0.042,-0.132,1.020,118.672,-14.214,64.267,up
0.094,0.003,1.010,136.366,23.374,-21.863,up
0.407,0.036,1.075,12.817,15.252,52.252,up
-0.091,0.153,0.675,227.359,9.435,29.534,up
0.026,0.346,1.302,52.176,16.947,41.718,up
0.196,0.367,1.092,133.145,37.435,-18.153,up
-0.289,0.414,0.824,51.015,-25.023,12.305,up
0.378,0.523,1.088,88.779,42.695,-10.817,up
-0.084,0.534,0.762,66.344,67.695,-45.718,up
0.180,0.603,0.945,102.893,-26.305,70.160,up
-0.127,0.728,0.650,80.771,118.565,-44.336,up
-0.110,0.756,0.715,101.336,-32.565,73.489,up
-0.080,0.820,1.117,25.252,41.504,-15.901,up
-0.061,0.768,0.477,12.908,30.504,-3.015,up
-0.075,0.885,0.946,30.595,-51.069,37.603,up
0.020,0.739,0.462,-40.290,61.275,-42.939,up
-0.066,0.806,0.744,65.305,-44.725,42.771,up
-0.106,0.807,0.623,-34.290,15.008,-5.748,up
0.087,0.800,0.720,31.145,-6.664,5.832,up
-0.135,0.776,0.577,-20.176,21.038,-11.092,up
0.010,0.798,0.714,33.718,-25.351,20.740,up
0.028,0.789,0.677,-10.489,19.679,-5.069,up
-0.059,0.806,0.663,13.908,-0.779,5.786,up
0.061,0.780,0.678,-5.992,-2.962,-4.466,up
-0.002,0.655,0.537,-16.969,0.076,-1.809,up
0.069,0.746,0.695,-8.824,17.427,-11.718,up
-0.039,0.775,0.670,-1.740,35.145,-12.878,up
-0.193,0.818,0.870,-1.473,45.099,-8.496,up
-0.257,1.006,1.037,31.122,-35.275,23.885,up
0.260,2.000,2.000,-8.489,-250.137,76.053,up
-0.011,2.000,0.083,-250.137,67.725,-133.176,up
0.552,0.521,-0.510,-250.137,-250.137,7.290,up
-0.528,-0.684,-2.000,-215.962,250.130,-202.992,up
0.427,-0.175,0.786,127.458,-250.137,220.809,up
-0.178,-0.693,0.202,-34.267,32.473,-112.038,up
0.291,-0.988,-0.018,-75.160,137.603,-32.038,up
0.668,-0.793,1.067,187.038,-35.534,53.344,up
0.021,-0.826,0.374,13.198,-9.443,102.229,up
0.014,-0.741,0.985,71.420,10.641,4.573,up
0.203,-0.750,0.664,2.122,17.397,-12.145,up
0.136,-0.711,0.775,30.115,-22.137,22.740,up
0.039,-0.687,0.649,15.916,-2.450,-2.557,up
0.279,-0.662,0.773,7.031,15.344,-6.046,up
0.081,-0.686,0.631,28.137,-8.809,16.023,up
0.096,-0.646,0.756,38.550,9.618,-9.267,up
0.204,-0.615,0.876,18.366,18.137,-15.038,up
0.103,-0.640,0.764,10.527,1.374,6.481,up
0.181,-0.616,0.724,23.412,10.382,3.397,up
0.053,-0.575,0.862,26.168,-7.748,10.985,up
0.237,-0.589,0.706,25.473,15.779,-3.733,up
0.054,-0.542,0.811,48.557,3.328,2.099,up
0.263,-0.510,0.829,44.053,39.153,-7.740,up
0.043,-0.455,0.504,123.191,1.244,62.275,up
0.054,-0.223,1.046,200.702,-2.450,28.985,up
0.118,-0.227,0.797,106.153,46.466,46.725,up
-0.192,0.081,1.327,182.641,0.527,46.588,up
-0.021,0.031,0.696,91.855,131.328,-86.053,up
0.161,0.304,1.166,179.649,-129.954,181.053,up
-0.447,0.336,1.261,40.313,18.435,-24.573,up
0.582,0.258,0.733,77.771,52.565,-2.176,up
-0.571,0.623,1.441,150.344,-109.282,48.260,up
0.582,0.399,0.662,-4.305,121.160,-137.420,up
-0.026,0.651,0.692,223.595,-121.618,104.092,up
-0.070,0.739,1.044,-37.382,14.336,11.748,up
0.387,0.728,0.835,115.244,-34.847,34.947,up
-0.177,0.819,1.047,10.137,20.710,-31.382,up
0.386,0.664,0.519,3.649,31.908,-24.221,up
-0.118,0.812,0.897,52.145,-55.298,43.305,up
0.304,0.704,0.641,-14.809,78.191,-66.130,up
-0.081,0.760,0.630,58.863,-56.740,52.458,up
0.007,0.732,0.643,-37.916,83.328,-65.214,up
0.136,0.772,0.705,43.634,-51.351,59.382,up
-0.101,0.780,0.734,-46.008,60.832,-42.221,up
0.292,0.760,0.647,29.206,-26.076,32.282,up
0.026,1.041,1.263,-14.458,-89.359,27.076,up
0.180,2.000,2.000,-250.137,51.565,-22.786,up
0.542,0.701,-0.932,-250.137,-81.603,-61.885,up
0.251,0.008,1.352,-156.672,-198.267,57.702,up
-0.148,-0.044,0.211,-250.137,106.084,-21.542,up
0.271,-0.704,-0.835,-132.649,1.130,-36.878,up
0.186,-0.717,0.813,3.916,-59.122,38.260,up
0.116,-0.879,-0.047,-89.244,35.489,2.435,up
0.267,-0.893,0.612,87.382,-38.649,24.588,up
0.090,-0.873,0.256,-19.168,35.557,-12.511,up
0.300,-0.885,0.549,41.634,4.565,3.115,up
0.177,-0.872,0.456,-18.053,0.847,8.931,up
0.184,-0.911,0.423,39.817,2.947,2.771,up
0.152,-0.818,0.506,-11.527,24.580,-20.931,up
0.289,-0.877,0.436,18.481,-8.252,8.015,up
0.190,-0.846,0.403,37.359,3.084,9.435,up
0.183,-0.840,0.624,-0.229,12.130,-16.382,up
0.253,-0.815,0.463,34.176,-20.504,4.977,up
0.185,-0.822,0.488,21.794,6.710,-2.832,up
0.198,-0.781,0.633,43.221,-28.511,11.817,up
0.252,-0.798,0.463,-26.824,36.931,-21.084,up
0.227,-0.779,0.457,69.756,-13.595,25.038,up
0.240,-0.720,0.238,117.252,89.649,19.405,up
-0.174,-0.488,0.852,171.023,-71.412,0.000,up
0.341,-0.566,0.461,145.260,122.344,-89.221,up
0.422,-0.191,0.899,250.130,11.542,66.466,up
-0.125,0.023,1.194,246.137,-29.260,89.008,up
-0.047,0.083,1.336,44.634,59.160,-26.870,up
0.256,-0.012,0.613,154.435,38.069,-17.076,up
-0.038,0.314,1.185,138.885,-18.664,69.397,up
0.055,0.404,1.384,93.450,29.985,-20.496,up
0.267,0.402,0.786,92.298,-24.023,40.779,up
0.070,0.479,1.173,113.473,11.328,-28.733,up
0.036,0.505,0.776,55.901,15.817,-9.122,up
-0.060,0.614,0.786,77.412,15.344,-12.901,up
0.022,0.662,0.833,25.344,9.053,16.046,up
0.069,0.661,0.896,39.977,9.313,4.603,up
0.048,0.704,0.722,34.756,1.855,16.145,up
0.062,0.735,0.776,36.160,12.053,-2.672,up
0.004,0.725,0.554,60.977,-19.504,13.374,up
0.055,0.758,0.799,54.076,-15.420,7.145,up
0.187,0.970,1.172,5.229,-81.290,13.489,up
0.492,2.000,2.000,-250.137,-198.641,216.534,up
0.679,2.000,-1.090,-250.137,250.130,-200.366,up
0.081,-0.746,-1.606,-138.962,-216.702,-40.008,up
0.836,-0.563,0.693,-213.672,-36.756,24.611,up
0.085,-0.924,-0.118,64.382,-12.740,-26.267,up
0.290,-0.756,0.600,-82.122,-35.389,51.885,up
0.155,-0.884,0.248,38.473,33.015,-46.611,up
0.290,-0.865,0.489,6.435,-17.000,26.992,up
0.202,-0.847,0.433,-10.344,25.214,-23.908,up
