ax,ay,az,gx,gy,gz,label
0.154,-0.493,1.086,25.901,-7.710,12.603,down
-0.021,-0.496,0.845,-7.786,-0.069,-17.580,down
0.233,-0.529,1.011,-68.237,24.664,-4.046,down
0.099,-0.509,0.948,-47.046,13.275,-20.023,down
0.106,-0.619,0.863,-85.473,33.931,-55.924,down
0.100,-0.677,0.562,-94.840,36.496,-35.191,down
0.333,-0.737,0.964,-90.191,24.779,-36.611,down
0.135,-0.821,0.362,-142.504,62.557,-12.305,down
-0.196,-0.750,0.707,-71.901,-29.794,4.885,down
0.358,-0.830,0.264,-64.229,46.107,-55.656,down
0.186,-0.830,0.235,4.260,-46.405,65.344,down
0.117,-0.905,0.560,22.069,-32.336,20.405,down
0.103,-0.898,0.377,31.511,-18.206,42.084,down
-0.085,-0.836,0.496,39.229,-15.458,6.229,down
0.164,-0.872,0.481,-7.679,-0.145,-3.099,down
0.136,-0.871,0.455,-24.298,24.687,2.893,down
0.153,-0.885,0.428,50.473,-25.076,38.573,down
-0.029,-0.850,0.802,-11.832,-12.137,-16.969,down
0.094,-0.842,0.312,-50.924,24.084,-36.702,down
0.103,-0.828,0.387,6.489,7.985,-26.153,down
0.208,-0.895,0.425,-28.702,31.313,-18.580,down
0.217,-0.889,0.506,-4.679,17.130,-19.924,down
0.114,-0.878,0.280,-40.931,50.000,-13.397,down
0.247,-0.941,0.312,42.084,-6.916,13.389,down
0.074,-0.873,0.575,13.008,-7.130,10.687,down
0.182,-0.873,0.345,-0.863,0.168,4.756,down
0.107,-0.889,0.467,22.443,-14.076,11.756,down
0.104,-0.864,0.465,23.634,-10.359,2.573,down
0.142,-0.877,0.471,13.977,-4.046,9.405,down
0.100,-0.846,0.475,34.420,-16.878,10.672,down
0.141,-0.874,0.502,13.412,1.427,10.305,down
0.079,-0.831,0.532,15.664,-5.924,30.779,down
0.018,-0.803,0.520,19.870,4.061,-7.847,down
0.117,-0.819,0.515,18.130,0.573,-10.985,down
0.124,-0.925,0.585,33.298,4.443,10.221,down
0.019,-0.817,0.664,30.786,-10.130,14.420,down
0.163,-0.813,0.618,-2.046,12.641,0.351,down
0.064,-0.797,0.615,15.450,-10.466,11.916,down
0.064,-0.799,0.597,1.740,5.305,-0.176,down
0.092,-0.817,0.580,23.252,0.496,5.344,down
0.053,-0.793,0.671,10.519,-2.649,3.565,down
0.067,-0.779,0.618,13.168,4.481,-1.221,down
0.086,-0.745,0.615,6.389,-1.328,8.901,down
0.069,-0.766,0.663,12.046,2.023,1.847,down
0.091,-0.770,0.667,-2.779,4.863,1.336,down
0.052,-0.772,0.650,10.336,-2.664,0.466,down
0.077,-0.749,0.643,-1.519,1.779,5.992,down
0.046,-0.775,0.691,13.687,2.450,-6.092,down
0.046,-0.793,0.606,-0.916,6.649,-12.099,down
0.019,-0.825,0.558,23.634,2.817,-1.954,down
0.041,-0.689,0.793,-51.076,28.145,-41.198,down
0.231,-0.312,-1.661,249.107,246.702,13.061,down
-0.634,1.388,0.254,250.130,-109.878,63.221,down
2.000,1.027,2.000,250.130,-250.137,21.687,down
0.746,0.684,1.703,-47.214,115.084,-144.718,down
0.835,0.511,1.906,44.008,29.122,36.275,down
0.152,0.495,0.931,20.321,7.336,16.115,down
0.166,0.452,1.071,-1.954,21.824,-2.511,down
0.099,0.462,0.755,12.679,-10.321,15.008,down
0.031,0.453,0.902,-5.626,22.733,-14.489,down
0.131,0.472,0.929,-6.122,-1.130,-4.153,down
0.006,0.460,0.861,-37.771,8.626,-0.107,down
0.134,0.539,1.073,3.992,-3.870,12.298,down
0.154,0.440,0.759,7.603,-2.885,22.611,down
-0.051,0.504,0.901,23.450,27.244,8.580,down
0.106,0.485,1.018,23.145,0.069,-8.725,down
0.174,0.502,0.876,-8.038,33.878,-16.634,down
0.078,0.531,0.975,-7.687,4.405,4.527,down
0.088,0.490,0.887,8.725,1.244,3.122,down
0.108,0.500,0.896,13.794,8.000,6.198,down
0.026,0.584,0.895,8.328,8.931,8.008,down
-0.022,0.606,1.047,-27.870,34.634,9.427,down
0.037,0.497,0.861,5.817,14.573,-36.802,down
-0.128,0.556,1.098,-70.847,20.870,-53.618,down
0.031,0.378,1.047,-79.863,-8.916,-7.115,down
-0.085,0.275,1.096,-92.450,-28.763,-15.084,down
0.246,0.556,1.036,-159.611,-37.542,31.962,down
-0.020,0.080,0.762,-22.557,-77.336,63.328,down
0.017,0.086,1.049,-111.542,3.275,21.290,down
0.109,-0.023,1.013,-27.519,-48.489,26.038,down
0.174,-0.004,1.015,-85.023,8.504,20.557,down
0.032,-0.200,1.234,-62.733,-35.427,16.305,down
0.197,-0.149,0.817,-130.168,13.740,-33.351,down
0.211,-0.227,1.286,-118.565,-9.099,-2.038,down
0.528,-0.475,0.492,-105.870,13.481,10.214,down
-0.183,-0.398,1.178,-18.855,-103.107,36.931,down
0.671,-0.864,0.336,-57.153,250.130,-72.618,down
0.232,-0.472,1.554,-44.847,-139.595,26.366,down
-0.117,-1.035,0.481,-146.733,-46.588,52.000,down
0.504,-0.673,1.131,-127.855,27.756,2.038,down
0.388,-0.928,0.427,-47.916,-32.802,80.061,down
-0.072,-0.633,0.812,44.084,-93.260,-18.733,down
0.470,-0.865,0.117,-94.298,46.282,-6.435,down
-0.096,-0.694,0.419,51.618,5.290,21.832,down
0.333,-0.839,0.293,66.794,68.061,-40.344,down
-0.080,-0.053,-1.631,233.580,250.130,-70.450,down
-0.617,2.000,0.435,250.130,-250.137,-82.015,down
0.687,0.689,1.632,149.557,81.519,-10.740,down
0.366,0.413,1.013,-2.069,49.855,-66.198,down
0.380,0.437,0.919,19.008,-8.802,6.168,down
0.209,0.357,0.683,-17.237,54.053,-13.130,down
0.101,0.374,0.920,3.511,-13.817,-4.504,down
0.327,0.361,0.868,14.176,7.321,-1.237,down
0.156,0.395,0.879,-2.260,0.634,2.321,down
0.255,0.399,0.915,5.527,4.153,-0.840,down
0.156,0.393,0.910,11.107,-2.145,-1.229,down
0.245,0.388,0.962,-1.382,17.649,3.908,down
0.137,0.453,1.004,1.603,16.588,-1.420,down
0.167,0.413,0.994,0.626,12.550,-1.305,down
0.278,0.391,0.875,7.824,-15.382,-1.557,down
0.175,0.425,1.009,3.191,6.153,-4.229,down
0.192,0.430,0.900,7.153,-4.053,-0.443,down
0.177,0.432,0.948,-0.824,10.473,0.176,down
0.205,0.418,0.920,14.511,1.176,-1.221,down
0.225,0.424,0.836,17.885,8.534,-9.206,down
0.229,0.456,1.029,18.046,-4.725,4.427,down
0.183,0.439,0.802,45.771,33.931,-8.573,down
0.117,0.575,1.107,-22.519,55.176,-21.427,down
0.202,0.812,0.986,-20.145,38.511,-6.916,down
0.052,0.420,1.096,-24.206,-6.603,-18.916,down
0.066,0.432,1.031,-48.351,33.489,-32.038,down
0.028,0.436,1.124,-117.908,35.305,-41.282,down
0.110,0.241,0.727,-104.290,-56.168,-44.023,down
0.125,0.204,1.425,-200.496,31.137,4.611,down
-0.089,-0.026,0.832,-90.649,-82.107,44.519,down
0.224,-0.165,0.930,-196.603,57.969,-47.305,down
0.086,-0.264,0.804,-103.710,10.214,45.069,down
0.127,-0.371,1.092,-86.305,6.740,-24.664,down
0.127,-0.418,0.797,-68.863,-2.611,18.122,down
0.103,-0.463,1.028,-70.130,16.046,11.893,down
0.101,-0.509,0.643,-69.260,-28.771,31.344,down
-0.021,-0.512,0.816,-89.267,7.893,3.893,down
0.196,-0.698,1.059,-49.519,-42.069,-13.374,down
0.233,-0.696,0.472,-115.191,6.588,32.214,down
-0.077,-0.572,1.150,-32.130,-61.756,69.504,down
0.214,-0.776,0.763,-77.290,11.046,-25.015,down
0.123,-0.743,0.673,-37.443,-45.832,-23.634,down
0.332,-0.865,0.261,-40.550,-8.389,-0.389,down
0.053,-0.849,0.479,-30.366,-6.061,-6.550,down
0.362,-0.855,0.403,36.153,3.374,6.641,down
0.133,-0.593,0.001,36.740,64.916,10.008,down
-0.532,0.554,-1.583,250.130,87.412,-110.771,down
-0.126,1.775,1.099,250.130,-71.336,5.565,down
0.756,0.622,1.383,134.603,174.443,-49.206,down
0.367,0.547,1.675,-69.611,117.702,17.397,down
0.230,0.393,0.972,0.863,-19.176,8.298,down
0.219,0.373,0.963,23.817,-14.901,-13.519,down
0.174,0.462,0.851,14.466,-6.206,5.901,down
0.261,0.429,0.933,9.740,0.542,-1.427,down
0.367,0.379,0.755,28.160,-13.725,4.824,down
0.225,0.447,1.050,6.115,16.779,-3.611,down
0.239,0.435,0.785,5.718,6.290,-5.031,down
0.163,0.444,0.894,0.954,12.290,-3.962,down
0.216,0.444,0.928,12.641,8.969,-2.595,down
0.160,0.443,0.876,8.031,8.374,-5.290,down
0.170,0.468,0.906,10.458,9.099,-3.626,down
0.225,0.453,0.890,11.466,15.878,-2.565,down
0.143,0.452,0.898,18.656,3.969,3.885,down
0.165,0.458,0.903,-0.534,14.443,-11.260,down
0.132,0.506,0.902,10.069,8.817,7.382,down
0.105,0.484,0.899,8.534,8.824,-7.435,down
0.150,0.487,0.900,5.718,12.473,-6.504,down
0.096,0.533,0.960,6.122,5.130,1.130,down
0.154,0.515,0.927,7.695,21.527,-10.695,down
0.081,0.580,1.093,32.229,36.718,19.771,down
-0.050,0.602,1.058,-62.450,65.786,-32.511,down
-0.163,0.651,0.875,-53.160,86.504,-156.351,down
0.053,0.387,1.293,-76.229,15.489,-152.809,down
0.011,0.346,1.179,-93.313,-32.947,-57.191,down
0.072,0.281,0.928,-250.137,-35.122,10.649,down
0.021,0.040,0.710,-155.870,-31.359,34.214,down
0.212,-0.048,0.883,-85.130,-84.473,66.802,down
0.053,-0.160,1.248,-64.817,-39.931,93.847,down
0.008,-0.239,0.732,-76.565,-8.084,38.160,down
0.127,-0.286,1.166,-71.725,-9.511,27.687,down
0.112,-0.400,0.911,-72.702,-18.336,53.840,down
0.047,-0.416,0.930,-119.206,-20.702,32.214,down
0.106,-0.463,0.894,-82.420,-93.275,22.000,down
0.076,-0.565,0.838,-118.863,-12.420,-3.588,down
0.252,-0.701,0.625,-110.290,2.153,-44.817,down
0.174,-0.733,0.475,-36.237,-43.344,2.450,down
0.218,-0.688,0.632,-136.809,53.450,-24.328,down
0.289,-0.822,0.403,-39.145,5.061,-2.550,down
0.387,-0.893,0.552,-72.282,31.489,33.748,down
0.133,-0.864,0.214,15.916,-2.427,63.298,down
-0.267,-0.272,-0.391,52.695,107.824,60.023,down
-0.464,1.555,-1.372,250.130,-44.046,-149.534,down
1.161,1.564,2.000,250.130,-94.206,48.710,down
-0.085,1.052,2.000,27.618,73.672,10.817,down
0.590,0.358,0.374,38.008,54.122,-40.878,down
-0.125,0.603,1.417,-3.107,-3.832,8.695,down
0.063,0.427,0.675,-20.702,3.893,-19.519,down
0.150,0.463,0.962,8.573,-8.176,2.656,down
0.125,0.462,0.933,-0.725,-3.481,-4.641,down
0.103,0.490,0.934,25.206,-20.580,8.840,down
0.129,0.491,0.840,-6.198,16.206,-1.130,down
0.096,0.497,1.019,6.084,-8.427,3.412,down
0.107,0.459,0.797,-10.908,16.725,-7.191,down
0.081,0.478,1.012,2.611,-1.313,4.046,down
0.093,0.460,0.867,-1.992,11.992,-5.527,down
