ax,ay,az,gx,gy,gz,label
-0.380,0.330,0.919,36.557,22.603,-72.725,right
-0.041,0.406,1.052,-2.733,-13.992,-14.076,right
-0.217,0.296,0.952,-52.779,-34.443,36.618,right
-0.285,0.243,0.768,28.305,49.588,-45.137,right
-0.145,0.368,1.078,38.733,12.664,-17.420,right
-0.177,0.346,1.015,-11.458,-4.763,12.191,right
-0.269,0.340,0.941,5.183,-6.573,11.626,right
-0.313,0.287,0.858,7.115,26.595,-33.771,right
-0.060,0.339,1.018,7.649,1.122,-1.458,right
-0.320,0.297,0.891,5.115,-26.672,23.008,right
-0.249,0.359,0.969,25.504,-13.229,-4.527,right
-0.219,0.359,1.050,-12.733,-9.351,-12.389,right
-0.196,0.285,0.800,-6.947,-1.260,-14.695,right
-0.203,0.385,1.089,35.275,-8.351,-11.985,right
-0.210,0.339,0.969,-34.901,6.947,-32.931,right
-0.168,0.312,0.889,7.084,-3.878,-24.565,right
-0.184,0.336,1.017,-1.420,-2.305,-12.931,right
-0.199,0.309,0.941,0.626,12.183,-33.298,right
-0.091,0.316,1.040,-8.977,2.786,-6.588,right
-0.250,0.287,0.954,-28.069,-2.824,1.336,right
-0.262,0.240,0.870,15.977,29.084,-20.756,right
-0.260,0.311,1.066,9.656,10.214,-18.405,right
-0.248,0.262,0.969,-25.779,9.237,-19.061,right
-0.214,0.223,0.842,8.740,2.023,-1.244,right
-0.248,0.277,1.046,9.229,-10.053,20.634,right
-0.298,0.252,0.913,-5.176,8.733,1.656,right
-0.239,0.274,0.992,6.168,4.252,2.481,right
-0.283,0.254,0.926,-0.145,9.832,-1.122,right
-0.265,0.276,1.000,-2.496,-0.725,3.863,right
-0.283,0.245,0.933,-11.954,-7.137,-1.328,right
-0.233,0.245,0.954,0.939,-4.611,-0.397,right
-0.267,0.249,0.950,-4.260,-18.908,9.595,right
-0.193,0.266,0.928,-0.534,-5.008,-0.802,right
-0.204,0.249,0.954,6.466,-10.260,9.527,right
-0.205,0.256,1.029,-0.244,0.061,-0.198,right
-0.184,0.235,0.908,-0.824,1.557,3.389,right
-0.210,0.264,1.040,12.298,-6.885,10.740,right
-0.216,0.254,0.960,-7.069,8.214,-5.702,right
-0.177,0.238,0.945,6.466,-0.626,3.527,right
