ax,ay,az,gx,gy,gz,label
-0.065,0.022,0.944,-139.435,51.573,74.481,right
0.306,-0.109,0.675,33.137,58.786,11.908,right
0.056,-0.024,0.837,50.191,65.702,64.511,right
-0.693,0.621,1.292,79.985,14.954,-122.695,right
-0.203,0.054,1.346,-77.641,59.595,-10.847,right
0.066,-0.174,0.788,-66.519,31.710,-63.305,right
0.145,0.076,1.433,34.305,-13.473,-60.763,right
0.057,-0.178,0.763,-128.168,133.580,-72.176,right
0.234,-0.148,0.809,89.748,-35.275,64.275,right
-0.343,0.012,1.230,22.824,-0.962,74.214,right
-0.158,-0.042,1.079,-18.603,22.252,-38.977,right
0.132,-0.073,1.077,-24.389,-17.908,2.542,right
-0.137,-0.133,0.887,17.298,-7.374,-22.267,right
0.060,-0.036,1.224,-0.008,-8.931,-17.382,right
-0.111,-0.084,1.028,-79.496,33.557,-40.107,right
0.079,-0.197,0.874,4.634,4.855,5.168,right
-0.216,-0.122,1.075,-26.481,65.443,-36.282,right
0.130,-0.291,0.760,-4.588,54.298,22.939,right
-0.147,-0.130,0.855,162.427,-53.053,44.992,right
-0.239,0.013,1.437,23.687,-22.718,22.267,right
0.011,-0.082,0.924,-46.542,59.954,-14.366,right
-0.094,-0.030,0.942,59.450,-27.351,25.397,right
-0.202,0.058,1.203,8.527,-40.374,34.069,right
-0.178,-0.013,1.083,-63.305,70.618,-72.527,right
-0.044,-0.115,0.860,-43.817,8.176,9.031,right
-0.154,-0.112,1.062,2.183,-0.069,9.214,right
-0.115,-0.121,0.918,7.931,8.359,3.191,right
-0.131,-0.094,1.065,23.267,-23.260,24.115,right
-0.021,-0.118,0.901,8.687,-17.656,9.206,right
-0.117,-0.056,0.996,53.183,-45.725,47.557,right
-0.091,-0.038,1.003,30.611,-15.069,18.382,right
-0.070,0.062,1.148,50.908,-51.351,69.374,right
-0.086,0.077,1.057,-28.336,37.878,-11.000,right
0.049,0.027,0.946,12.649,-0.015,8.244,right
0.104,0.048,1.124,18.145,42.786,40.153,right
-0.151,0.073,1.093,12.504,14.290,25.153,right
0.062,-0.197,1.040,-4.145,22.366,6.931,right
-0.037,0.058,1.016,5.130,6.435,25.244,right
-0.162,0.077,1.092,-7.908,-0.802,24.183,right
-0.011,0.059,1.209,-56.305,3.527,-23.046,right
-0.005,-0.040,0.889,-20.847,12.214,-16.870,right
-0.111,-0.002,1.028,-18.305,-6.977,11.427,right
0.037,-0.064,0.978,-2.076,-6.275,-11.718,right
-0.054,-0.036,1.051,16.008,-18.573,-2.855,right
0.030,-0.023,1.044,-15.069,10.015,-7.092,right
0.131,-0.017,1.081,30.710,-8.137,-6.198,right
-0.100,-0.026,0.960,-14.229,28.183,-4.595,right
-0.052,-0.032,0.972,27.443,-1.053,5.832,right
-0.029,-0.008,1.043,1.832,1.313,3.153,right
-0.008,-0.006,1.022,23.534,-3.443,12.458,right
0.024,0.001,1.082,1.176,18.847,5.908,right
-0.238,-0.034,0.973,20.405,-25.122,-14.076,right
-0.047,-0.001,0.954,-12.832,12.779,10.107,right
0.126,0.015,1.099,-3.336,17.107,19.626,right
-0.121,-0.108,0.953,-2.489,18.221,21.069,right
-0.072,-0.000,1.042,3.130,29.947,16.267,right
-0.208,-0.012,0.917,12.634,17.443,6.420,right
-0.499,0.010,0.879,34.588,-69.786,3.656,right
-2.000,0.566,1.180,-86.832,-122.237,-250.137,right
0.503,0.910,-0.036,219.878,-108.832,-250.137,right
0.420,0.637,0.990,-139.718,-198.603,-203.519,right
1.284,0.545,1.102,47.573,-39.527,-135.115,right
0.187,0.371,0.550,-2.908,-26.321,-24.695,right
0.428,0.338,1.148,-18.626,13.275,-10.145,right
0.314,0.285,0.783,5.046,10.519,6.275,right
0.393,0.269,0.895,8.443,6.252,29.435,right
0.418,0.274,1.035,6.260,41.489,41.756,right
0.525,0.262,0.958,-0.763,33.008,79.168,right
0.445,0.249,0.917,-5.977,23.840,136.786,right
0.298,0.273,1.076,19.725,-2.969,134.130,right
0.211,0.223,0.933,-51.321,39.664,130.420,right
0.206,0.105,1.008,3.641,23.260,51.863,right
0.337,0.073,0.796,-65.611,108.779,38.931,right
0.369,-0.008,0.960,32.473,71.466,44.992,right
0.094,0.031,0.846,26.389,49.664,104.855,right
-0.255,0.083,1.112,-9.191,34.359,110.702,right
0.082,-0.015,1.023,14.695,56.076,-6.924,right
-0.036,0.029,1.014,13.275,15.557,38.565,right
-0.053,0.011,1.013,-15.397,26.244,33.038,right
0.109,0.062,1.029,25.206,24.366,10.916,right
-0.077,0.036,1.028,-32.214,28.534,29.939,right
0.037,0.014,0.962,-7.267,19.389,55.992,right
-0.068,0.054,1.122,-19.863,-5.298,91.840,right
0.164,0.023,1.159,24.466,46.878,24.557,right
-0.431,-0.027,0.722,-74.206,17.237,93.092,right
0.232,0.031,1.250,-62.305,-16.198,161.038,right
-0.458,-0.075,0.766,38.397,29.565,19.679,right
