ax,ay,az,gx,gy,gz,label
-0.022,0.311,0.833,-23.458,-41.420,49.031,left
-0.034,0.333,0.848,8.542,-19.969,37.802,left
0.082,0.418,1.078,18.496,-20.031,45.588,left
-0.021,0.351,0.876,-17.901,-14.115,36.840,left
0.002,0.355,0.948,42.779,-11.092,-14.626,left
0.029,0.419,1.175,-6.718,-6.176,-33.145,left
0.069,0.335,0.934,-56.779,20.519,-55.336,left
0.140,0.300,0.878,16.763,17.359,-40.580,left
-0.087,0.346,0.937,-1.076,-24.496,3.489,left
0.019,0.376,0.949,62.221,18.046,-55.603,left
0.059,0.362,0.965,-16.710,-27.176,2.084,left
0.028,0.365,0.850,46.107,-1.244,-11.847,left
0.123,0.473,1.173,18.733,-2.985,11.076,left
-0.087,0.388,0.832,-12.687,-7.893,15.580,left
0.086,0.425,1.009,30.939,13.809,-9.313,left
-0.042,0.427,0.974,-16.221,-5.794,7.947,left
0.093,0.429,0.945,0.405,16.122,-18.718,left
0.021,0.388,0.915,-15.664,-10.405,18.863,left
-0.036,0.375,0.834,7.771,6.947,-4.489,left
0.031,0.429,1.004,20.130,1.176,-3.481,left
0.056,0.422,1.025,-25.794,8.954,-7.656,left
0.033,0.357,0.757,2.901,-0.053,5.809,left
-0.019,0.438,1.066,18.534,-5.130,0.221,left
0.053,0.398,0.928,-16.542,11.084,-17.916,left
0.069,0.401,0.922,17.702,-9.916,11.069,left
-0.033,0.427,0.999,1.176,-0.595,-2.183,left
0.104,0.407,0.935,-6.656,6.695,-9.435,left
0.017,0.396,0.895,9.336,-7.863,13.924,left
0.013,0.426,0.986,5.763,3.908,-2.595,left
0.030,0.392,0.900,-3.588,-7.565,0.176,left
0.058,0.416,0.923,13.931,-3.366,-1.061,left
0.077,0.422,0.952,5.588,3.855,-4.542,left
0.056,0.428,0.920,8.046,-1.489,10.191,left
0.012,0.432,0.950,1.931,1.718,4.573,left
0.048,0.431,0.931,9.344,6.901,-4.015,left
0.052,0.434,0.970,-3.092,-0.015,3.977,left
0.047,0.414,0.900,1.008,10.672,-5.595,left
0.046,0.438,0.963,2.901,-3.115,6.588,left
0.021,0.421,0.920,-5.885,0.053,0.924,left
0.072,0.426,0.912,8.847,2.954,-1.557,left
0.056,0.443,0.980,0.702,-4.832,10.412,left
0.040,0.429,0.928,1.565,6.916,-3.313,left
0.062,0.427,0.922,0.550,-2.328,5.389,left
0.037,0.425,0.918,7.290,5.924,-0.107,left
0.028,0.421,0.978,-4.435,-1.069,0.221,left
0.048,0.397,0.828,13.664,5.916,-8.779,left
0.056,0.484,1.043,12.718,-13.137,13.313,left
0.052,0.452,0.957,-12.031,16.977,-18.412,left
0.175,0.434,0.878,-8.031,8.092,8.634,left
0.504,0.614,1.519,58.466,135.740,-63.359,left
1.573,1.680,2.000,-250.137,123.748,199.992,left
-0.360,0.589,-1.638,-250.137,31.786,250.130,left
-0.826,1.433,0.977,250.130,-233.015,250.130,left
-1.153,0.561,1.712,-76.824,10.824,147.344,left
-0.330,0.140,0.517,16.366,219.153,-250.137,left
0.325,0.343,1.427,75.725,8.824,-30.504,left
-0.235,0.285,1.068,-32.519,-70.618,87.221,left
-0.311,0.216,0.897,3.603,18.183,-35.527,left
0.005,0.245,1.072,-5.527,15.206,-34.389,left
-0.046,0.207,0.943,-5.931,-12.565,8.725,left
-0.166,0.240,0.990,-3.221,-26.191,19.740,left
-0.115,0.209,0.988,3.733,13.481,-30.061,left
-0.009,0.204,0.987,-0.412,0.725,-7.053,left
-0.139,0.263,0.998,8.313,-33.122,23.496,left
-0.209,0.266,1.026,16.878,-1.824,-31.840,left
-0.045,0.297,1.115,-15.214,4.321,-45.794,left
-0.229,0.214,0.798,-1.855,-42.885,-28.267,left
-0.290,0.285,1.044,31.626,-24.344,-109.771,left
-0.118,0.332,1.002,-9.687,-24.786,-172.603,left
-0.057,0.237,0.746,22.618,-16.771,-198.031,left
0.186,0.366,1.066,111.298,7.069,-194.634,left
0.272,0.344,1.177,-15.366,-21.038,-53.053,left
-0.061,0.240,0.644,48.603,-86.656,57.771,left
-0.217,0.459,1.122,93.137,-44.511,-13.718,left
-0.197,0.451,0.951,-0.260,8.710,-125.649,left
0.174,0.564,1.001,55.847,21.374,-143.702,left
0.157,0.441,0.974,-8.809,-23.382,-23.374,left
-0.128,0.484,0.943,15.527,-76.656,44.893,left
-0.167,0.453,0.881,-10.450,8.947,-67.374,left
0.160,0.462,0.976,11.023,-0.008,-55.748,left
0.012,0.422,0.900,3.366,-36.076,12.794,left
-0.010,0.471,0.978,9.878,-10.664,-12.405,left
0.010,0.451,0.929,-2.489,-3.153,-15.702,left
0.043,0.443,0.867,8.282,-14.573,-2.069,left
-0.019,0.447,0.915,24.763,-24.588,16.321,left
0.034,0.495,0.975,16.550,19.031,-12.389,left
0.073,0.511,0.955,5.595,-12.687,17.962,left
-0.031,0.492,0.880,0.466,0.000,2.214,left
0.058,0.498,0.911,2.282,2.427,-4.061,left
0.078,0.498,0.887,2.366,2.015,10.557,left
0.098,0.522,0.984,3.061,15.931,7.931,left
0.634,0.654,1.503,0.374,137.046,-58.046,left
1.412,1.172,1.104,-250.137,148.863,199.015,left
0.342,1.042,-0.236,-60.779,89.305,250.130,left
-1.343,1.587,0.542,40.008,14.611,250.130,left
-1.509,0.620,1.099,127.527,57.305,112.931,left
-0.273,0.609,1.198,-7.481,177.878,-210.466,left
0.051,0.361,0.961,-67.611,3.221,-24.695,left
-0.340,0.277,0.760,39.069,-12.366,-12.122,left
-0.182,0.464,1.281,-12.992,-33.786,0.237,left
-0.226,0.272,0.838,-55.679,24.527,-62.931,left
0.047,0.262,0.916,6.573,-3.573,-14.160,left
-0.370,0.324,1.063,-3.611,-54.931,18.489,left
-0.367,0.351,1.002,-41.038,-19.031,-70.420,left
-0.482,0.352,0.939,-37.977,-59.305,-131.763,left
-0.085,0.245,0.957,-2.160,1.557,-236.321,left
0.080,0.206,0.954,-35.374,-80.145,-130.756,left
-0.042,0.153,0.987,14.756,-41.542,-160.008,left
0.076,0.095,0.983,-41.824,-115.916,-94.336,left
0.160,0.071,0.812,72.603,-36.008,-74.756,left
-0.008,0.288,1.118,61.130,-46.992,-72.664,left
0.039,0.240,0.936,48.252,-9.313,-126.481,left
0.186,0.335,1.131,39.160,5.611,-130.939,left
0.299,0.368,0.940,28.802,7.374,-80.931,left
0.196,0.363,1.089,32.969,-45.214,32.656,left
-0.014,0.338,0.984,-20.695,-31.122,19.282,left
0.117,0.336,0.899,12.702,0.786,-19.351,left
0.115,0.374,1.000,14.153,-15.153,-7.160,left
0.167,0.372,1.001,-0.153,-0.458,-14.710,left
0.167,0.316,0.874,-3.573,-7.954,6.779,left
0.113,0.371,0.953,35.916,8.489,11.702,left
0.057,0.377,0.996,11.618,9.679,1.939,left
0.078,0.383,0.873,15.038,27.794,-20.321,left
0.097,0.440,1.043,16.672,17.489,-12.595,left
0.017,0.388,0.895,-0.160,6.122,-0.649,left
-0.008,0.492,0.901,17.099,14.664,-19.519,left
0.097,0.475,1.098,6.550,-5.504,1.802,left
0.026,0.426,0.900,-13.389,-8.305,3.603,left
0.724,0.846,1.516,2.855,142.763,-113.756,left
2.000,1.760,0.983,-250.137,250.130,250.130,left
-0.970,1.236,-0.820,250.130,-250.137,250.130,left
-1.753,1.297,2.000,49.298,-10.870,250.130,left
-0.327,0.326,0.607,-126.344,250.130,-238.450,left
0.218,0.145,0.699,13.237,-2.779,64.802,left
-0.631,0.327,1.084,68.298,-14.809,47.641,left
-0.404,0.357,1.004,-28.992,33.626,-47.015,left
-0.089,0.262,1.066,-21.679,-15.008,-3.756,left
-0.345,0.230,0.855,-6.595,-0.481,-18.565,left
-0.145,0.274,1.156,-20.046,-19.145,-1.115,left
-0.347,0.190,0.851,-33.824,-11.420,-14.275,left
-0.125,0.204,0.971,7.198,-3.916,-24.786,left
-0.411,0.228,1.062,-14.679,-52.725,-0.855,left
-0.487,0.192,0.731,2.771,-28.389,-80.229,left
-0.292,0.343,1.193,35.626,-71.962,-117.275,left
-0.188,0.263,1.052,-58.794,-53.107,-160.916,left
0.102,0.143,0.841,-8.924,-51.901,-150.053,left
0.100,0.114,0.979,-7.939,-78.382,-97.656,left
0.138,0.086,0.835,3.634,-37.786,-111.313,left
0.192,0.151,0.882,57.832,-38.427,-99.389,left
0.260,0.259,1.056,68.931,-17.534,-84.511,left
0.339,0.266,1.064,25.603,-12.038,-27.115,left
0.164,0.275,1.031,32.221,-37.214,21.580,left
0.063,0.281,0.984,3.969,-16.977,-1.710,left
0.105,0.269,0.911,22.893,5.427,-38.221,left
0.138,0.354,1.056,24.763,-1.122,-56.130,left
0.223,0.259,1.083,-10.359,34.511,-90.542,left
0.318,0.290,0.879,-8.550,-18.931,4.191,left
0.057,0.351,0.976,30.802,-25.305,21.740,left
0.151,0.364,1.085,-18.321,-7.092,-23.702,left
0.278,0.288,0.834,-12.847,-15.397,3.557,left
0.178,0.326,0.965,21.130,-29.473,22.901,left
0.167,0.317,0.966,-4.038,-11.092,-11.061,left
0.274,0.304,0.932,-0.649,9.878,-5.664,left
0.213,0.302,0.997,-10.824,9.603,2.084,left
0.228,0.296,0.906,-1.252,26.939,-14.298,left
0.380,0.340,1.031,-10.740,36.664,1.237,left
1.264,0.694,1.829,1.397,250.130,-147.076,left
1.437,0.949,0.179,-250.137,195.099,250.130,left
-0.428,1.437,-1.399,51.130,-250.137,250.130,left
-1.748,2.000,2.000,250.130,-149.634,250.130,left
-0.591,0.804,0.491,-250.137,250.130,-250.137,left
0.817,0.202,0.881,65.542,-9.710,-28.786,left
-0.543,0.324,1.199,-25.466,-105.916,108.145,left
-0.084,0.250,0.860,-32.008,64.618,-73.641,left
-0.099,0.232,0.979,-13.931,-47.061,34.962,left
-0.091,0.227,1.049,-10.618,12.122,-23.008,left
0.005,0.190,0.950,-17.496,1.267,5.092,left
-0.175,0.214,0.965,9.267,-8.557,2.908,left
-0.030,0.226,1.053,-2.992,5.191,-12.557,left
-0.156,0.204,0.976,-6.191,-13.015,0.168,left
