ax,ay,az,gx,gy,gz,label
0.169,-0.457,0.893,-138.855,-16.481,83.779,down
-0.146,-0.632,0.753,-82.282,-78.771,44.214,down
-0.274,-0.642,0.023,-72.366,11.824,9.008,down
0.570,-0.743,1.045,-16.817,8.924,-17.168,down
-0.154,-0.795,0.480,-2.221,-37.420,37.160,down
0.135,-0.736,0.604,-88.275,56.481,-28.740,down
0.030,-0.877,0.292,14.092,39.298,0.672,down
-0.079,-0.816,0.266,67.969,47.702,25.763,down
0.031,-0.581,1.273,61.901,118.748,-74.763,down
0.183,-0.764,0.389,60.321,26.817,-38.756,down
0.062,-0.427,1.000,-31.519,-25.443,4.641,down
-0.037,-0.654,0.560,70.855,-9.878,-9.412,down
0.295,-0.382,1.041,27.206,-0.374,-2.221,down
0.094,-0.642,0.487,5.779,54.786,-51.122,down
0.211,-0.576,1.143,38.931,-109.046,45.817,down
0.074,-0.645,0.705,-33.473,-14.076,-13.771,down
0.157,-0.679,0.650,-43.412,-8.672,-14.053,down
0.176,-0.702,0.773,-19.679,-9.672,-12.992,down
0.204,-0.689,0.721,-27.664,8.366,-11.176,down
0.146,-0.713,0.677,-12.802,-12.061,16.206,down
0.115,-0.711,0.638,4.298,11.023,0.794,down
0.169,-0.694,0.632,5.870,16.618,1.389,down
0.178,-0.711,0.764,3.794,5.611,9.458,down
0.107,-0.713,0.652,9.336,-1.198,4.412,down
0.202,-0.717,0.695,10.420,8.405,7.237,down
0.146,-0.704,0.699,-9.145,13.130,-4.832,down
0.142,-0.694,0.692,8.641,6.252,0.008,down
0.115,-0.698,0.734,1.382,0.573,1.344,down
0.141,-0.695,0.686,1.405,10.275,-3.176,down
0.169,-0.712,0.727,-1.664,4.733,1.794,down
0.160,-0.706,0.695,-0.656,5.656,2.252,down
0.135,-0.719,0.684,-2.168,1.527,-3.878,down
0.112,-0.709,0.708,-1.229,-4.359,-3.412,down
0.166,-0.719,0.658,3.702,-11.145,2.466,down
0.148,-0.726,0.681,-3.893,3.466,-5.656,down
0.142,-0.710,0.677,6.053,2.710,-2.443,down
0.171,-0.712,0.673,9.504,1.969,3.595,down
0.104,-0.705,0.739,4.527,0.779,-0.603,down
0.187,-0.712,0.672,7.695,-2.183,2.534,down
0.162,-0.716,0.707,0.702,11.450,-3.985,down
0.148,-0.714,0.703,6.771,-5.656,1.374,down
0.153,-0.711,0.688,-0.366,-1.046,-0.038,down
0.105,-0.702,0.679,-0.481,5.969,-0.496,down
0.139,-0.701,0.649,-0.237,6.084,-4.786,down
0.175,-0.710,0.714,-10.275,12.176,-3.840,down
0.071,-0.725,0.854,0.527,-21.305,6.298,down
0.198,-0.736,0.430,-0.718,-9.221,5.542,down
-0.306,-0.561,0.416,51.450,-36.275,-59.351,down
0.049,-0.083,-1.421,250.130,63.191,-50.168,down
0.547,1.498,0.612,250.130,-31.115,-34.076,down
-0.675,0.762,1.649,182.038,129.794,-10.802,down
-0.302,0.811,2.000,151.221,-17.023,12.908,down
0.097,0.534,0.898,-50.557,26.023,25.710,down
0.134,0.457,0.878,-9.863,33.695,-19.481,down
0.078,0.394,0.849,-4.435,1.229,-13.290,down
0.113,0.399,0.947,7.931,0.672,2.519,down
0.032,0.405,0.987,-13.779,-10.954,-10.397,down
0.205,0.433,1.065,-15.885,-0.718,-9.809,down
0.133,0.388,0.901,-4.809,-7.282,4.809,down
0.114,0.395,0.916,11.924,-1.374,0.702,down
0.116,0.382,0.860,-8.290,5.702,-1.450,down
0.101,0.399,0.998,-12.130,7.069,-3.947,down
0.120,0.378,1.038,-0.038,-4.374,4.405,down
0.042,0.382,0.952,-1.099,-5.122,-8.023,down
0.192,0.469,1.219,-28.771,20.198,-12.786,down
0.298,0.475,1.318,-69.122,0.099,0.405,down
0.008,0.263,0.640,5.504,23.397,-63.740,down
0.099,0.281,1.285,-63.695,49.832,-40.603,down
-0.016,0.117,1.052,-103.099,-72.260,-33.282,down
0.160,0.125,1.249,-127.809,53.748,-95.145,down
0.180,-0.062,0.500,-49.359,6.412,-1.176,down
0.127,0.010,1.423,-22.351,-66.702,81.221,down
0.137,-0.126,0.978,-129.252,21.565,48.725,down
0.170,-0.159,0.890,-64.702,-58.855,73.611,down
0.034,-0.230,0.894,-50.427,-34.290,56.695,down
0.066,-0.283,0.941,-28.351,-26.229,26.183,down
0.166,-0.335,0.927,-40.656,-12.656,28.382,down
0.129,-0.366,0.925,-23.878,-29.489,38.282,down
0.073,-0.352,0.939,-31.809,-16.153,-8.069,down
0.123,-0.467,1.097,-77.771,-14.779,-7.534,down
0.250,-0.491,0.856,-104.771,-44.985,-4.351,down
0.209,-0.533,0.547,-99.634,-24.489,15.809,down
0.266,-0.578,0.883,-51.618,-23.084,-29.229,down
0.383,-0.667,0.698,-100.008,6.023,-7.008,down
0.229,-0.711,0.467,-84.656,16.878,14.954,down
0.386,-0.802,0.765,-80.290,8.748,1.779,down
0.194,-0.838,0.468,-47.550,-21.130,29.214,down
0.196,-0.860,0.247,-44.420,13.824,24.427,down
0.090,-0.752,0.302,-19.458,31.496,7.115,down
0.485,-0.435,-0.457,47.244,221.595,18.260,down
-0.725,1.401,-2.000,250.130,47.214,-109.015,down
0.659,2.000,2.000,250.130,-250.137,94.046,down
-0.190,0.967,1.443,-250.137,250.130,-176.718,down
-0.361,0.864,2.000,160.420,179.313,12.885,down
0.014,0.492,1.047,25.099,-69.969,22.122,down
-0.336,0.273,1.062,1.969,54.763,-9.084,down
0.104,0.463,0.990,30.885,-38.794,23.954,down
-0.080,0.441,0.768,-1.985,7.824,-13.145,down
0.045,0.474,0.950,-2.137,13.534,-4.008,down
0.004,0.434,0.904,-10.061,-19.229,-21.145,down
-0.115,0.571,1.243,-30.931,-48.573,-31.405,down
0.345,0.392,0.717,31.611,4.733,-28.985,down
-0.005,0.477,1.066,5.985,16.588,1.679,down
0.113,0.442,0.968,-0.878,27.458,4.374,down
0.038,0.456,0.914,9.076,-2.519,3.061,down
0.106,0.456,0.939,4.206,6.008,-0.817,down
-0.009,0.499,0.901,13.099,-5.389,10.359,down
0.042,0.565,1.066,-7.176,22.099,13.802,down
0.114,0.471,0.911,-14.504,17.809,-5.595,down
-0.186,0.560,0.915,12.313,5.336,-7.840,down
0.218,0.563,1.272,37.542,97.473,-125.947,down
-0.183,0.443,0.817,-47.634,-2.298,-43.313,down
-0.046,0.345,1.011,-49.481,17.672,-32.183,down
0.063,0.330,1.122,-109.153,-28.511,8.275,down
-0.109,0.230,0.959,-79.053,9.580,-21.412,down
-0.120,0.182,1.163,-88.710,-53.435,-16.985,down
0.083,0.044,0.716,-109.176,15.687,-20.122,down
-0.312,0.097,1.373,-85.176,-12.756,-12.313,down
0.141,-0.212,0.737,-57.870,-52.168,-13.374,down
-0.181,-0.220,0.767,-156.107,14.916,-26.069,down
0.180,-0.355,1.144,-36.832,-85.771,35.038,down
0.080,-0.318,1.058,-157.626,-65.649,57.344,down
0.251,-0.543,0.373,-98.748,-41.702,80.336,down
-0.037,-0.246,1.739,-99.244,-130.244,190.511,down
-0.232,-0.545,0.146,-166.527,62.901,-83.939,down
0.515,-0.699,0.678,-87.740,30.198,-5.977,down
-0.199,-0.690,0.415,11.435,-24.855,9.618,down
0.377,-0.791,0.580,-16.176,105.076,-45.458,down
-0.265,-0.740,0.346,98.504,-1.817,33.985,down
0.355,-0.484,0.659,-29.214,166.511,-82.260,down
0.723,0.668,-2.000,250.130,250.130,-37.412,down
-0.126,2.000,2.000,250.130,-250.137,196.863,down
1.528,0.709,0.745,-56.214,119.992,-9.191,down
0.221,0.563,1.143,63.611,38.282,-16.313,down
0.470,0.596,0.840,14.756,34.733,-9.198,down
-0.029,0.521,0.860,6.840,-0.771,-14.878,down
0.110,0.543,0.605,-35.000,24.252,-17.947,down
0.012,0.596,1.104,17.420,0.565,-3.748,down
0.052,0.573,0.715,-23.779,21.092,-7.374,down
-0.020,0.597,1.049,5.076,-6.244,6.282,down
0.074,0.578,0.798,0.733,7.962,-9.573,down
0.063,0.565,0.851,2.718,19.412,4.260,down
0.015,0.592,0.990,-0.038,6.847,-0.908,down
0.052,0.570,0.795,1.718,8.809,-0.626,down
-0.040,0.596,0.934,16.496,1.282,11.786,down
0.063,0.577,0.867,5.405,45.137,-1.397,down
0.015,0.635,0.894,5.076,3.504,29.603,down
-0.076,0.679,1.009,-13.962,-3.260,22.947,down
-0.046,0.657,0.861,-60.450,-39.733,-6.450,down
0.029,0.536,0.981,-101.053,21.336,-21.725,down
0.159,0.375,1.020,-85.878,-104.359,20.786,down
0.112,0.383,1.171,-200.740,-40.458,-4.939,down
0.211,0.101,0.733,-149.885,-23.954,-15.618,down
0.319,0.078,0.852,-98.435,-14.168,15.481,down
0.133,-0.057,0.896,-39.458,-45.649,43.305,down
0.237,-0.085,0.849,-49.183,6.115,0.023,down
0.253,-0.158,0.969,0.176,-55.328,47.847,down
0.203,-0.074,0.995,-47.137,11.573,-6.046,down
0.349,-0.172,1.037,-30.412,-2.282,-23.634,down
0.320,-0.144,0.958,-69.763,57.405,-24.985,down
0.238,-0.267,0.826,-22.473,-29.710,47.664,down
0.237,-0.266,1.106,-36.359,12.405,-1.168,down
0.306,-0.352,0.716,-40.160,-15.924,39.725,down
0.202,-0.366,1.003,-45.511,-48.290,73.038,down
0.270,-0.447,0.989,-79.237,-7.969,21.687,down
0.248,-0.533,0.777,-106.504,19.931,-18.718,down
0.286,-0.632,0.606,-27.901,-38.252,52.252,down
0.031,-0.545,0.845,-74.031,-29.908,45.313,down
0.491,-0.687,0.797,-53.779,-11.534,-18.580,down
0.362,-0.707,0.549,-60.504,-51.870,71.008,down
0.109,-0.513,0.040,-89.840,79.206,-0.855,down
0.195,0.423,-1.492,128.893,231.305,-0.519,down
-0.664,1.897,0.198,250.130,-120.656,66.611,down
1.398,1.907,2.000,250.130,-190.672,202.878,down
0.618,0.698,1.053,-197.466,153.908,-145.679,down
0.430,0.423,0.905,-14.511,2.931,17.893,down
0.388,0.575,0.848,30.954,-45.252,-24.847,down
