ax,ay,az,gx,gy,gz,label
0.121,0.151,0.987,6.687,-2.084,-2.519,idle
0.116,0.165,1.023,3.931,-5.832,7.473,idle
0.110,0.152,1.007,0.847,0.328,4.557,idle
0.106,0.152,0.997,-3.160,3.855,2.977,idle
0.116,0.151,1.017,1.397,-0.244,4.618,idle
0.112,0.150,0.995,-1.588,4.382,2.985,idle
0.151,0.146,1.043,-1.046,7.191,11.771,idle
0.060,0.147,1.005,0.885,4.450,5.542,idle
0.131,0.142,0.990,1.366,10.053,1.679,idle
0.110,0.149,1.042,5.160,9.420,5.145,idle
0.103,0.135,0.993,4.366,9.420,1.466,idle
0.079,0.143,1.017,0.336,9.366,6.740,idle
0.052,0.151,1.021,5.527,3.779,3.931,idle
0.109,0.142,1.015,1.931,3.206,-0.534,idle
0.062,0.144,1.010,1.458,1.817,0.137,idle
0.078,0.152,1.006,3.076,1.160,3.427,idle
0.105,0.143,0.999,-3.687,9.458,-2.160,idle
0.046,0.141,1.001,0.916,-0.275,9.924,idle
0.047,0.134,0.993,2.389,4.588,-3.962,idle
0.088,0.151,1.042,7.542,0.511,-2.687,idle
0.108,0.148,0.998,-3.511,3.695,-1.580,idle
0.050,0.141,0.999,4.023,-1.366,3.656,idle
0.090,0.140,1.021,7.038,-1.611,0.260,idle
0.087,0.151,1.010,7.565,4.656,-1.901,idle
0.099,0.157,1.061,-4.061,3.336,-3.298,idle
0.113,0.148,1.005,3.405,-0.214,2.397,idle
0.117,0.149,0.996,3.763,3.053,-3.962,idle
0.133,0.156,1.037,-0.565,-0.611,3.000,idle
0.078,0.155,1.002,3.634,4.443,0.779,idle
0.091,0.152,1.009,4.824,5.107,-4.992,idle
0.104,0.152,1.017,0.740,6.313,-2.359,idle
0.100,0.150,1.006,1.847,0.489,2.450,idle
0.074,0.156,1.020,3.145,-0.954,-0.328,idle
0.080,0.154,0.998,-2.786,1.496,0.153,idle
0.105,0.152,1.008,4.695,0.832,0.779,idle
0.095,0.153,1.023,0.038,4.893,-1.282,idle
0.102,0.147,1.011,4.817,3.290,-2.718,idle
0.093,0.151,1.003,-0.573,3.389,-1.206,idle
0.097,0.155,1.021,1.290,-0.191,-0.145,idle
0.116,0.150,1.003,2.321,2.038,-1.038,idle
0.098,0.157,1.028,2.435,1.099,-0.496,idle
