ax,ay,az,gx,gy,gz,label
0.244,0.128,0.737,88.099,65.733,-23.481,left
0.670,0.099,1.862,3.458,211.443,-79.115,left
-0.063,0.140,0.736,-104.298,11.221,53.901,left
0.137,0.183,1.316,34.771,-130.496,88.924,left
0.124,0.219,1.372,-187.267,56.160,-66.351,left
0.030,-0.105,0.824,-116.359,-69.573,6.893,left
0.319,-0.179,0.945,-72.359,-41.252,-16.664,left
0.369,-0.252,0.860,-26.443,-8.718,112.489,left
-0.102,-0.133,0.489,68.305,28.802,35.053,left
0.295,-0.080,1.389,113.183,89.031,-70.626,left
-0.069,-0.107,0.703,-42.145,65.565,-39.496,left
0.058,-0.102,1.260,13.260,-40.656,-15.000,left
-0.006,-0.133,1.191,-113.748,10.771,-40.641,left
0.234,-0.229,0.553,32.809,3.160,-40.550,left
-0.165,-0.123,1.210,39.191,-53.771,-19.534,left
0.370,-0.211,1.037,-2.427,33.427,-59.924,left
0.095,-0.175,0.953,-36.092,5.405,-18.053,left
0.166,-0.174,1.018,31.901,-4.282,-42.267,left
0.055,-0.132,0.957,-40.580,31.557,-36.336,left
0.320,-0.184,0.928,14.313,43.160,-54.282,left
0.128,-0.161,1.096,21.947,-0.634,-15.939,left
0.034,-0.153,0.986,-0.191,17.496,-36.840,left
0.258,-0.155,1.058,22.092,3.710,-7.779,left
0.042,-0.124,0.998,6.779,8.802,1.649,left
0.141,-0.158,1.025,12.550,-1.099,-3.618,left
-0.004,-0.104,1.019,7.282,10.992,-4.603,left
0.078,-0.080,1.002,13.450,-2.168,-12.763,left
0.114,-0.103,1.052,28.786,-1.664,4.344,left
0.029,-0.055,1.002,3.832,11.359,0.153,left
0.093,-0.047,1.054,30.832,-44.420,22.901,left
0.097,-0.080,1.010,-6.145,30.656,-20.130,left
0.146,-0.052,1.079,7.282,5.115,1.748,left
0.058,-0.060,0.987,10.802,10.252,-3.626,left
0.036,-0.047,1.060,-2.626,0.282,-5.031,left
