ax,ay,az,gx,gy,gz,label
-0.130,0.480,0.711,-28.534,10.496,-23.733,up
-0.203,0.474,0.760,51.015,-10.176,31.855,up
-0.228,0.590,0.970,26.206,5.229,20.450,up
-0.272,0.573,0.945,-8.817,-3.130,3.656,up
-0.199,0.560,0.920,-36.275,-7.611,-1.214,up
-0.174,0.418,0.720,-23.847,27.252,-35.710,up
-0.058,0.501,0.899,11.901,-18.786,35.214,up
-0.363,0.449,0.762,-9.580,9.969,-7.725,up
-0.010,0.572,0.998,40.313,10.542,16.618,up
-0.410,0.525,0.914,-31.496,1.802,18.397,up
-0.195,0.430,0.646,0.992,46.550,-24.351,up
-0.295,0.477,0.892,49.000,-14.931,20.916,up
-0.155,0.520,0.979,-6.229,42.702,-15.847,up
-0.352,0.634,0.729,30.107,-63.611,74.748,up
-0.355,0.620,1.077,8.756,31.573,-50.450,up
0.001,0.512,0.732,-52.489,6.244,-2.939,up
-0.333,0.519,0.625,37.443,-38.496,40.221,up
-0.187,0.605,1.051,25.031,12.817,-15.733,up
-0.151,0.569,0.788,-17.214,-4.550,7.718,up
-0.209,0.596,0.894,18.282,-10.427,10.069,up
-0.186,0.558,0.828,-25.695,6.237,-10.321,up
-0.104,0.529,0.756,16.878,0.450,1.954,up
-0.214,0.579,0.883,11.496,-9.229,13.145,up
-0.180,0.564,0.849,0.511,8.260,-6.809,up
-0.175,0.566,0.834,4.252,-3.191,2.855,up
-0.167,0.582,0.867,5.939,-0.656,0.191,up
-0.164,0.572,0.862,-3.534,3.046,-2.802,up
-0.167,0.561,0.800,1.779,0.702,-0.092,up
-0.155,0.570,0.869,6.389,2.450,-0.962,up
-0.173,0.573,0.845,0.099,1.656,-0.145,up
-0.147,0.559,0.846,1.389,7.763,-1.878,up
-0.188,0.563,0.809,1.702,3.786,2.824,up
-0.190,0.570,0.839,6.275,4.382,-1.557,up
-0.160,0.569,0.850,2.366,3.275,0.168,up
-0.179,0.567,0.833,1.634,4.855,-0.908,up
-0.177,0.574,0.833,3.840,1.908,3.405,up
-0.200,0.579,0.848,3.695,3.092,-0.618,up
-0.183,0.564,0.801,-0.229,1.863,-1.427,up
-0.168,0.577,0.859,9.374,-0.168,2.130,up
-0.192,0.578,0.837,-0.672,3.725,-1.710,up
-0.182,0.569,0.822,2.153,1.321,-0.611,up
-0.178,0.581,0.832,3.275,0.046,1.885,up
-0.184,0.579,0.854,1.733,1.351,-1.336,up
-0.157,0.562,0.813,-2.809,3.885,-1.710,up
-0.188,0.574,0.814,9.473,-2.618,6.756,up
-0.201,0.596,0.856,5.275,-1.824,2.374,up
-0.146,0.584,0.857,-3.748,7.389,-6.168,up
-0.190,0.551,0.740,6.244,-0.420,2.290,up
-0.121,0.574,0.833,22.023,5.595,3.458,up
-0.153,0.565,0.637,30.748,16.458,5.420,up
-0.279,0.735,0.845,87.260,-4.015,8.985,up
-0.088,1.205,1.657,38.710,-82.290,14.221,up
-0.732,1.691,2.000,-250.137,-244.092,140.023,up
0.255,0.396,0.075,-250.137,101.618,-250.137,up
-0.100,-0.195,0.055,-250.137,-129.038,-39.779,up
0.588,-0.693,-1.119,-20.160,198.718,-250.137,up
0.863,-0.465,1.005,213.863,-132.733,135.015,up
0.134,-0.468,1.260,-5.809,35.985,1.481,up
0.397,-0.615,0.465,3.313,35.695,-4.282,up
0.295,-0.473,1.021,63.145,-28.710,47.733,up
0.211,-0.469,0.922,-8.672,7.031,6.870,up
0.305,-0.521,0.673,17.611,11.298,-2.802,up
0.216,-0.460,0.973,1.229,-0.412,3.794,up
0.357,-0.514,0.747,18.641,10.344,-2.542,up
0.239,-0.469,0.889,19.237,0.191,13.107,up
0.304,-0.502,0.572,57.244,31.053,-0.053,up
0.312,-0.376,0.837,118.260,15.985,30.267,up
0.156,-0.243,1.082,78.924,-11.702,46.931,up
0.109,-0.254,0.995,23.695,26.947,-0.947,up
0.207,-0.270,0.796,67.214,41.061,-9.740,up
