ax,ay,az,gx,gy,gz,label
-0.053,-0.540,0.928,-39.809,-46.687,-0.542,down
0.179,-0.508,0.657,9.458,10.626,6.122,down
-0.123,-0.476,0.953,5.870,22.511,-53.084,down
0.267,-0.550,0.867,-5.122,23.359,-25.473,down
0.063,-0.521,0.755,15.176,-7.649,9.282,down
-0.064,-0.526,0.887,-13.779,26.336,0.061,down
-0.041,-0.538,0.871,15.763,-9.450,-0.939,down
0.112,-0.561,0.937,-10.603,-14.649,-17.802,down
0.142,-0.550,0.768,-17.695,-18.275,2.260,down
0.033,-0.565,0.983,-6.458,-33.893,0.992,down
0.241,-0.564,0.821,-3.481,-41.710,10.481,down
0.150,-0.536,0.927,-19.802,-41.183,20.527,down
0.187,-0.541,0.742,-2.344,-6.435,6.153,down
0.170,-0.553,0.731,10.145,5.351,6.397,down
0.124,-0.563,0.861,31.458,-0.168,-4.435,down
0.181,-0.581,0.750,8.389,9.267,1.328,down
0.126,-0.554,0.847,14.733,1.496,-4.870,down
0.147,-0.570,0.924,0.855,1.466,1.511,down
0.174,-0.556,0.750,-0.023,18.939,-2.870,down
0.123,-0.552,0.790,-2.878,27.779,-9.580,down
0.168,-0.593,0.811,5.710,6.145,-7.061,down
0.135,-0.570,0.865,-0.557,4.458,-2.687,down
0.128,-0.569,0.849,-7.237,0.397,-5.779,down
0.124,-0.573,0.770,-1.176,-0.412,-1.038,down
0.132,-0.579,0.797,-9.046,1.947,-6.397,down
0.165,-0.582,0.805,-7.542,2.069,-3.725,down
0.144,-0.591,0.768,-11.618,3.763,-5.740,down
0.087,-0.593,0.797,0.924,0.695,0.481,down
0.139,-0.604,0.768,-3.656,3.519,-7.267,down
0.181,-0.612,0.798,-5.740,4.901,-0.870,down
0.087,-0.602,0.760,4.137,6.061,-0.847,down
0.156,-0.594,0.783,-7.298,6.160,-6.359,down
0.164,-0.608,0.795,4.145,12.794,-2.885,down
0.146,-0.609,0.796,3.656,13.313,2.206,down
0.115,-0.597,0.850,11.534,10.863,0.122,down
0.079,-0.576,0.801,-1.863,21.351,-6.466,down
0.167,-0.610,0.843,9.260,13.237,-8.809,down
0.106,-0.596,0.797,-3.053,6.634,7.053,down
0.113,-0.599,0.749,12.504,-2.733,-1.626,down
0.077,-0.602,0.751,3.939,-4.214,7.985,down
0.042,-0.663,0.890,-32.511,53.115,-24.321,down
0.137,-0.623,0.844,23.504,0.366,6.695,down
0.148,-0.596,0.840,26.580,-1.435,-11.656,down
0.071,-0.580,0.827,3.267,-11.252,-8.985,down
0.107,-0.586,0.816,-4.656,-18.863,1.344,down
0.117,-0.610,0.735,-14.901,-10.618,-4.435,down
0.084,-0.603,0.887,-16.069,-21.901,2.061,down
0.201,-0.624,0.875,-19.214,-9.237,0.519,down
0.181,-0.625,0.720,-39.008,0.504,0.992,down
0.174,-0.596,0.595,-16.580,7.435,7.183,down
-0.162,-0.340,-0.278,80.160,21.405,-11.794,down
0.433,0.728,-1.460,250.130,25.954,-64.840,down
-0.683,1.552,2.000,250.130,-77.824,172.244,down
0.689,0.399,0.585,-0.504,-11.664,-82.687,down
0.249,0.528,1.144,1.298,-15.939,-19.702,down
0.366,0.398,1.007,-55.298,15.229,-12.000,down
0.250,0.350,1.237,21.473,-3.107,23.305,down
0.215,0.271,0.782,1.634,1.901,1.489,down
0.138,0.252,0.898,-6.588,19.893,-3.366,down
0.138,0.252,0.844,14.000,-8.252,-14.908,down
0.289,0.269,0.975,-11.153,12.824,-7.786,down
0.103,0.269,0.918,-0.489,0.595,-5.344,down
0.131,0.274,0.958,-14.450,3.214,-14.687,down
0.285,0.270,1.029,-0.885,-2.130,-2.519,down
0.127,0.267,1.003,-9.603,1.046,0.824,down
0.214,0.268,1.044,4.534,-4.725,-5.603,down
0.198,0.247,1.009,-2.985,0.252,0.344,down
0.160,0.253,1.029,3.924,1.244,-1.191,down
0.184,0.266,0.990,5.519,8.595,-4.076,down
0.155,0.276,0.970,10.550,17.626,-7.527,down
0.051,0.309,1.109,16.374,34.527,-19.282,down
0.129,0.316,1.154,4.962,28.298,-3.893,down
0.084,0.326,1.070,-11.420,25.076,-2.351,down
0.042,0.352,1.203,-23.672,-4.771,9.832,down
0.057,0.268,0.952,-22.160,0.557,3.260,down
0.075,0.265,1.213,-70.176,-21.786,31.649,down
0.022,0.100,0.850,-77.710,-19.374,14.969,down
0.055,0.071,1.156,-73.832,-19.466,20.229,down
0.173,-0.037,0.950,-92.313,-20.664,27.298,down
0.124,-0.094,1.113,-58.634,-31.427,11.725,down
0.097,-0.150,0.868,-108.122,5.771,23.908,down
0.101,-0.249,1.004,-50.573,-23.221,11.870,down
0.140,-0.297,0.918,-76.626,-29.863,17.130,down
0.044,-0.334,1.064,-76.443,-120.885,4.710,down
0.161,-0.384,0.979,-105.802,-30.534,-12.939,down
0.496,-0.554,0.594,-92.695,16.740,-40.878,down
0.260,-0.538,0.832,-68.443,-23.656,27.435,down
0.339,-0.598,0.574,-70.672,29.366,-34.412,down
0.365,-0.663,0.662,-36.450,-5.855,13.412,down
0.265,-0.665,0.590,-26.000,9.382,9.298,down
0.278,-0.878,0.768,-17.374,-9.641,8.947,down
0.281,-0.717,0.487,-37.542,20.870,-6.786,down
0.223,-0.751,0.802,-16.405,2.443,12.084,down
0.317,-0.765,0.599,-35.672,2.198,10.298,down
0.356,-0.810,0.659,-54.290,32.885,21.771,down
0.084,-0.758,0.416,-24.000,8.740,65.023,down
0.158,-0.872,0.476,-22.588,-0.153,19.206,down
0.103,-0.913,0.655,-25.695,-12.466,25.496,down
0.149,-0.875,0.348,-19.183,-0.290,23.107,down
-0.535,-0.579,0.088,43.198,-9.534,-29.160,down
0.374,0.347,-2.000,235.679,124.573,-123.328,down
0.686,1.115,1.700,250.130,52.603,-82.351,down
0.092,0.065,2.000,123.656,-16.832,-100.023,down
0.423,0.091,2.000,28.290,-27.160,-10.313,down
0.321,0.082,0.895,-30.389,17.237,10.198,down
0.219,0.075,0.862,-16.656,-17.351,3.595,down
