ax,ay,az,gx,gy,gz,label
-0.025,0.384,1.031,-96.496,20.229,-29.237,down
0.032,0.117,0.672,-17.908,-0.748,-9.435,down
-0.016,0.194,0.854,129.061,4.511,22.290,down
-0.175,0.536,1.341,63.458,-2.656,29.664,down
-0.148,0.404,0.956,-33.565,6.267,-29.908,down
0.021,0.430,0.902,-1.656,3.466,-19.672,down
0.058,0.545,1.348,60.321,-67.817,51.298,down
-0.210,0.554,1.397,-211.679,-8.634,10.267,down
-0.149,0.042,0.107,-173.916,-0.924,-83.771,down
0.359,0.094,0.809,96.664,75.023,-76.069,down
0.161,0.391,1.359,49.000,-52.305,112.733,down
-0.237,0.436,1.135,-130.985,-6.511,115.008,down
-0.078,0.026,0.886,-45.107,92.931,-100.168,down
0.084,0.090,1.175,-110.450,-89.382,63.435,down
-0.054,-0.018,1.080,-160.458,-30.420,-7.099,down
0.067,-0.201,0.648,-102.924,-24.069,-49.786,down
0.126,-0.390,1.133,-116.733,-119.267,53.366,down
0.025,-0.361,0.513,-119.496,18.557,-41.397,down
0.385,-0.398,0.996,-35.565,-55.542,23.794,down
0.148,-0.509,0.594,-27.870,19.847,13.679,down
0.229,-0.476,0.846,26.977,7.374,32.649,down
0.128,-0.468,0.772,39.420,36.275,15.252,down
0.186,-0.403,1.061,41.695,4.626,32.473,down
0.019,-0.397,0.972,-5.237,31.664,7.779,down
0.119,-0.405,0.835,16.557,41.954,-4.328,down
0.066,-0.378,0.963,28.061,17.260,28.840,down
0.061,-0.281,0.968,9.504,24.817,25.305,down
-0.092,-0.348,1.021,7.885,-0.450,13.565,down
-0.056,-0.365,0.968,-27.267,2.786,-16.595,down
0.081,-0.402,0.905,-18.511,-3.229,-13.534,down
0.003,-0.409,0.906,-5.061,-13.931,-3.565,down
0.068,-0.417,0.943,-21.840,1.656,-16.122,down
0.070,-0.439,0.796,-5.183,-5.084,-6.649,down
0.076,-0.411,1.009,16.435,-20.176,4.153,down
0.034,-0.419,0.876,-21.198,2.748,-15.763,down
0.160,-0.445,0.862,16.885,-7.901,-6.336,down
0.080,-0.419,1.012,-17.099,-4.191,-2.908,down
0.162,-0.470,0.802,-2.504,10.145,-9.122,down
0.075,-0.445,0.991,7.519,-9.824,5.809,down
0.134,-0.459,0.883,-16.954,4.038,-8.069,down
0.121,-0.445,0.964,-9.435,-13.725,3.137,down
0.050,-0.453,0.926,-34.099,3.076,-22.389,down
0.156,-0.510,0.801,-43.947,5.580,-20.947,down
0.198,-0.526,0.807,6.931,-15.244,5.573,down
0.129,-0.518,0.886,-3.817,10.504,-12.344,down
0.151,-0.534,0.795,-6.832,4.832,0.832,down
0.116,-0.515,0.912,-3.252,-7.153,8.824,down
0.193,-0.535,0.842,5.718,9.038,-3.557,down
0.095,-0.550,0.797,6.099,5.802,-1.977,down
0.133,-0.565,0.783,16.511,-9.229,3.947,down
0.222,-0.539,1.042,8.565,-13.130,15.595,down
0.100,-0.507,0.819,-13.038,-8.595,4.565,down
0.197,-0.529,0.914,-19.725,-30.786,-4.679,down
0.235,-0.552,0.706,-43.015,6.885,-25.817,down
0.230,-0.554,0.507,-6.649,24.832,-20.023,down
0.618,-0.155,-1.169,9.595,250.130,-90.618,down
0.421,1.550,-1.715,250.130,132.374,250.130,down
-0.975,2.000,2.000,250.130,-96.267,250.130,down
-0.875,1.615,0.427,-250.137,250.130,-250.137,down
0.181,0.609,0.526,12.710,-135.031,109.748,down
-0.394,0.763,1.074,31.664,28.725,-22.679,down
-0.360,0.693,0.414,-37.901,32.641,-30.176,down
-0.265,0.716,0.783,15.878,-10.000,3.710,down
-0.355,0.704,0.653,-37.366,32.481,-29.924,down
-0.317,0.687,0.615,16.046,-2.412,1.061,down
-0.425,0.741,0.835,-13.176,-25.214,17.282,down
-0.386,0.718,0.895,-52.504,-29.786,-23.229,down
-0.245,0.580,0.442,-32.290,26.695,-37.947,down
-0.390,0.801,0.879,0.947,-96.015,50.748,down
-0.302,0.870,1.416,-137.588,118.061,-4.534,down
-0.420,0.497,0.643,-84.267,-152.489,52.954,down
-0.342,0.483,1.126,-243.847,-34.397,-100.832,down
0.068,0.133,0.503,-128.527,-95.580,-88.779,down
0.000,0.092,0.925,-71.527,-38.023,11.145,down
-0.033,0.057,0.915,-116.137,-57.092,-0.321,down
0.130,0.088,0.880,-76.710,-32.733,-21.130,down
0.155,0.030,1.026,-141.504,-23.664,-18.809,down
0.287,-0.220,1.034,-91.397,-42.924,-46.031,down
0.344,-0.309,0.699,-141.038,15.947,-58.313,down
0.442,-0.444,0.972,-88.450,-54.092,17.275,down
