ax,ay,az,gx,gy,gz,label
-0.018,0.289,0.942,52.252,-8.832,14.481,up
-0.201,0.321,1.040,25.099,37.870,-25.420,up
-0.172,0.298,0.624,99.595,89.389,-165.756,up
0.276,0.426,1.068,61.863,-109.168,125.443,up
-0.454,0.374,0.261,84.656,-56.412,-22.573,up
-0.147,0.678,1.630,-59.771,17.687,99.183,up
-0.156,0.567,0.792,45.000,-6.023,-2.542,up
0.049,0.688,1.160,19.527,-5.870,12.275,up
-0.156,0.614,1.050,-70.412,33.359,-9.191,up
0.100,0.500,0.864,-2.626,-6.840,11.679,up
0.063,0.502,1.007,-62.626,8.298,23.466,up
-0.143,0.383,0.599,5.634,-14.099,13.084,up
0.003,0.443,1.090,13.885,-14.771,7.038,up
0.021,0.400,0.903,-31.137,31.832,-28.794,up
-0.022,0.458,0.919,33.519,-28.534,14.527,up
-0.017,0.432,0.893,-13.710,14.534,-44.763,up
-0.092,0.443,1.011,-7.977,-21.496,16.527,up
-0.015,0.414,0.876,9.931,-13.649,-15.115,up
0.023,0.441,1.109,-12.435,-5.366,-6.611,up
0.003,0.397,0.887,-12.672,-0.260,-2.443,up
0.031,0.406,0.906,13.252,-9.328,-2.191,up
0.053,0.417,0.953,5.168,-2.992,-3.718,up
0.070,0.434,0.927,17.221,-2.802,-1.748,up
0.132,0.459,1.034,18.137,-2.855,13.863,up
0.001,0.451,0.906,0.832,-0.038,9.748,up
0.064,0.444,0.886,0.656,5.153,-4.267,up
0.071,0.434,0.927,1.893,0.550,7.710,up
0.045,0.434,0.903,4.779,3.084,1.924,up
0.037,0.458,0.929,5.573,1.282,3.595,up
0.018,0.458,0.937,-2.099,6.588,-2.061,up
0.116,0.442,0.926,8.084,7.252,-2.420,up
0.081,0.457,0.928,2.038,2.298,5.824,up
0.044,0.452,0.933,4.061,2.305,0.534,up
0.068,0.448,0.937,3.687,1.588,1.099,up
0.044,0.456,0.937,-1.198,3.137,-3.023,up
0.075,0.454,0.938,6.321,0.511,2.504,up
0.050,0.458,0.910,0.237,6.733,-1.321,up
0.063,0.454,0.932,2.969,3.252,3.305,up
0.042,0.452,0.926,3.893,1.916,0.282,up
0.051,0.455,0.898,2.580,2.038,0.229,up
0.051,0.448,0.897,6.962,1.481,5.130,up
0.038,0.473,0.914,14.260,-6.084,1.130,up
0.062,0.468,0.899,-1.489,3.176,-3.023,up
0.048,0.473,0.931,3.336,-1.244,0.053,up
0.078,0.469,0.918,3.939,-1.458,2.901,up
0.060,0.476,0.913,2.565,3.336,1.710,up
0.051,0.468,0.900,1.374,3.214,-0.153,up
0.100,0.485,0.943,5.840,3.939,0.542,up
0.070,0.527,1.362,36.183,-155.153,56.427,up
-0.230,1.303,2.000,-250.137,81.473,-126.015,up
0.974,0.156,0.465,-250.137,-208.099,56.137,up
0.110,0.013,0.472,-250.137,-14.351,24.519,up
0.150,-0.294,0.438,-119.863,-22.191,-7.183,up
0.339,-0.468,0.407,-53.969,1.962,11.366,up
0.264,-0.530,0.582,52.046,19.977,15.901,up
0.240,-0.455,0.953,53.832,5.313,20.756,up
0.441,-0.486,0.920,45.122,13.382,-1.313,up
0.240,-0.400,0.972,24.847,9.023,27.985,up
0.316,-0.379,0.756,29.466,58.534,19.802,up
0.208,-0.320,0.925,98.046,20.092,63.519,up
0.096,-0.252,0.992,83.641,40.718,10.458,up
0.103,-0.227,1.093,44.618,28.656,21.183,up
-0.075,-0.194,1.024,21.023,-4.824,-5.069,up
0.063,-0.190,0.638,10.221,58.313,-78.076,up
0.338,-0.115,0.796,168.573,72.145,-64.740,up
0.147,0.040,0.885,185.359,-12.336,57.389,up
-0.053,0.276,1.370,118.603,-4.038,79.435,up
-0.140,0.295,1.015,63.366,24.328,-13.924,up
0.285,0.313,0.980,56.023,4.496,-0.237,up
0.092,0.416,0.999,94.221,-5.962,39.374,up
-0.049,0.499,0.891,70.107,17.962,23.321,up
0.096,0.570,1.038,57.115,-10.084,22.649,up
-0.015,0.566,0.873,23.099,26.206,-10.611,up
0.025,0.586,0.761,52.237,-18.672,5.916,up
-0.066,0.630,0.940,-26.840,4.206,-27.947,up
0.137,0.542,0.765,-6.145,-11.969,-19.863,up
0.047,0.583,0.917,19.649,-33.153,-3.366,up
0.090,0.565,0.811,3.206,-16.740,-7.313,up
0.157,0.566,0.719,32.466,7.710,-12.809,up
0.460,0.895,1.510,61.092,-223.573,44.618,up
-0.073,2.000,2.000,-250.137,139.565,104.550,up
-0.105,0.182,-1.107,-250.137,-189.557,91.786,up
0.633,-0.345,0.884,-164.794,54.092,-75.061,up
-0.151,-0.485,0.255,-52.809,-23.603,41.489,up
0.453,-0.602,0.425,-9.061,4.702,3.924,up
0.256,-0.556,1.208,33.534,-37.542,16.695,up
0.240,-0.553,0.625,-4.618,-1.427,10.397,up
0.188,-0.489,0.907,-18.603,2.733,-1.000,up
0.264,-0.463,0.782,5.931,12.824,-5.748,up
0.391,-0.456,0.506,74.382,38.672,-7.321,up
0.447,-0.337,0.875,171.450,37.534,32.130,up
0.016,-0.198,1.123,112.947,10.206,53.939,up
0.116,-0.178,0.718,114.542,99.160,-47.611,up
-0.010,0.001,1.421,124.260,-59.985,49.885,up
0.081,-0.038,1.000,33.038,78.947,-81.260,up
0.205,-0.013,0.882,76.183,12.573,-18.695,up
0.012,0.155,0.948,124.885,-22.885,10.702,up
0.231,0.236,1.429,-4.214,-11.298,16.939,up
0.347,0.150,0.681,80.489,34.618,-25.618,up
-0.125,0.375,1.288,67.954,-15.565,19.015,up
0.208,0.293,0.704,37.809,42.092,-4.962,up
-0.020,0.453,1.251,58.870,-25.954,34.336,up
0.179,0.387,0.841,16.733,28.366,2.023,up
0.020,0.439,0.928,59.076,9.435,12.053,up
0.156,0.484,1.050,18.290,5.756,-0.534,up
0.135,0.461,0.899,12.679,-3.992,-0.046,up
0.040,0.488,1.000,-1.588,6.519,-7.183,up
0.118,0.462,0.865,12.260,-17.374,6.740,up
0.137,0.485,0.948,17.588,-2.313,-3.000,up
0.084,0.492,0.942,-0.244,-3.511,-4.977,up
0.151,0.465,0.853,5.046,4.733,-5.534,up
0.102,0.498,0.875,44.939,-13.527,15.061,up
0.135,0.526,0.931,13.863,16.160,2.267,up
0.046,0.586,0.976,51.260,-35.580,24.947,up
0.112,0.567,0.848,-19.954,31.588,-10.443,up
0.074,0.595,0.781,50.191,11.153,8.489,up
0.497,1.207,2.000,37.618,-250.137,87.382,up
0.250,2.000,0.915,-250.137,250.130,-186.244,up
0.245,0.042,-0.321,-250.137,-176.908,30.275,up
0.281,-0.105,0.838,-250.137,68.366,-52.344,up
0.257,-0.727,-0.504,-63.641,74.794,-20.443,up
0.128,-0.542,0.739,106.649,-71.954,41.511,up
-0.011,-0.527,0.404,-102.725,53.466,-37.458,up
0.794,-0.760,0.889,123.939,-54.366,13.710,up
-0.049,-0.609,0.598,29.603,62.260,-9.802,up
0.388,-0.571,0.941,57.443,-21.885,29.779,up
0.332,-0.552,0.691,64.321,23.366,13.443,up
0.085,-0.481,0.916,40.321,16.267,13.702,up
0.361,-0.491,0.598,65.855,77.824,-8.328,up
0.252,-0.364,0.353,248.473,31.550,138.443,up
-0.444,-0.005,1.543,148.153,28.634,43.305,up
0.607,-0.176,1.046,98.053,108.191,-88.924,up
-0.213,0.084,1.177,128.939,-40.656,53.313,up
0.118,0.049,0.857,30.656,47.656,-23.763,up
0.040,0.182,0.872,131.588,-58.588,86.489,up
-0.048,0.306,1.203,51.473,44.130,-23.069,up
0.205,0.317,0.946,81.672,-32.305,48.237,up
-0.123,0.433,1.017,59.954,11.710,9.176,up
0.102,0.408,0.885,60.992,19.351,8.282,up
0.025,0.547,0.909,97.740,22.611,18.824,up
-0.130,0.569,1.018,9.924,27.382,-7.832,up
0.106,0.512,0.730,48.412,-7.359,1.916,up
-0.047,0.619,1.096,-1.969,-11.679,13.427,up
0.149,0.536,0.772,17.084,7.099,-4.916,up
0.009,0.620,1.010,15.641,-8.603,7.641,up
0.059,0.626,0.843,-24.595,-2.496,-4.473,up
0.393,1.046,2.000,-247.595,-250.137,197.649,up
0.345,0.810,0.164,-250.137,99.527,128.794,up
-0.136,-0.002,0.296,-250.137,66.229,66.282,up
0.025,-0.400,0.193,-175.740,27.443,-20.756,up
0.381,-0.737,-0.184,23.969,-65.824,-9.031,up
-0.175,-0.728,0.256,-58.313,66.504,-11.076,up
0.283,-0.921,0.858,59.260,-15.740,-14.198,up
0.138,-0.821,0.396,57.740,-15.237,9.725,up
0.239,-0.780,0.581,35.756,21.916,-5.954,up
0.238,-0.709,0.697,125.511,-50.794,14.580,up
0.255,-0.708,0.382,36.198,57.947,-34.748,up
0.283,-0.586,0.892,180.901,-62.687,-0.931,up
0.159,-0.591,0.692,-39.939,82.168,-33.672,up
0.368,-0.536,0.550,113.053,-3.420,21.824,up
0.194,-0.469,0.701,111.466,54.908,7.611,up
-0.118,-0.208,0.999,185.641,28.756,3.489,up
-0.095,-0.185,0.726,71.092,118.557,-105.420,up
0.342,-0.146,0.915,169.565,62.710,-87.786,up
-0.101,0.119,1.312,148.008,-33.153,54.656,up
-0.151,0.224,1.086,44.366,56.458,-28.328,up
0.107,0.131,0.745,94.756,18.855,-44.977,up
0.088,0.362,1.206,146.916,-108.435,53.542,up
0.042,0.404,1.039,5.916,10.023,5.969,up
0.097,0.359,0.690,92.214,15.183,-0.504,up
0.029,0.547,1.210,74.481,-62.023,29.244,up
0.160,0.563,0.781,39.695,23.351,-29.221,up
0.087,0.584,1.070,6.916,-27.313,-0.107,up
0.206,0.500,0.700,19.695,1.962,-4.412,up
0.074,0.572,0.887,33.725,-1.229,-1.198,up
0.163,0.593,0.866,12.641,23.870,-5.687,up
0.190,0.576,0.854,41.351,-13.313,12.168,up
0.143,0.605,0.958,-12.595,12.275,-0.511,up
0.151,0.635,0.716,12.137,-26.313,4.557,up
1.386,1.173,2.000,-250.137,-102.130,162.664,up
1.212,0.762,-0.904,-250.137,160.008,40.733,up
0.087,0.134,0.365,-250.137,-36.153,125.137,up
0.035,-0.776,-0.443,-45.031,-94.702,70.634,up
-0.220,-0.571,-0.673,-38.214,-39.214,-18.641,up
0.451,-1.047,0.856,-0.763,23.328,-12.305,up
-0.009,-0.938,0.521,27.260,6.076,-5.359,up
0.216,-1.008,0.158,24.725,-8.206,17.947,up
0.043,-0.830,0.020,139.191,12.687,9.534,up
-0.281,-0.633,0.903,126.023,-19.534,-4.817,up
0.073,-0.856,0.626,110.557,13.962,-108.130,up
0.295,-0.759,0.739,32.076,-13.840,-2.511,up
0.059,-0.698,0.483,19.840,24.916,-36.947,up
0.002,-0.575,0.675,129.573,37.115,-48.473,up
