ax,ay,az,gx,gy,gz,label
0.212,0.137,1.080,-25.504,-33.542,-7.641,idle
0.262,0.102,0.974,31.748,-48.672,10.634,idle
0.260,0.072,1.009,-60.527,25.664,-16.115,idle
0.219,0.006,0.925,0.901,-0.557,17.023,idle
0.280,0.016,1.051,-27.969,12.321,1.954,idle
0.193,-0.052,0.993,62.122,22.229,20.573,idle
0.189,0.036,0.876,-42.718,73.122,19.885,idle
0.139,0.066,1.154,42.672,-40.947,-13.008,idle
0.260,0.012,0.820,43.351,-37.542,35.794,idle
0.123,0.150,1.427,-28.107,-17.389,23.595,idle
0.468,-0.017,0.864,-39.809,19.366,9.115,idle
0.139,0.098,0.907,-17.313,-12.504,46.573,idle
0.358,-0.052,0.829,-20.763,9.321,3.008,idle
0.132,-0.052,0.966,26.863,-2.374,25.588,idle
0.243,-0.020,0.826,20.832,-6.137,3.374,idle
0.226,-0.018,1.185,6.534,-4.725,-30.962,idle
0.191,-0.032,1.008,3.069,19.756,-14.985,idle
0.279,-0.268,0.962,-3.183,-30.947,-7.382,idle
0.202,-0.029,0.976,-19.122,12.908,-8.053,idle
0.218,0.001,0.907,-12.115,13.969,3.740,idle
0.281,-0.045,1.027,15.069,-6.481,-2.290,idle
0.230,-0.016,0.998,5.664,0.191,-1.748,idle
0.231,-0.015,1.093,3.130,2.115,-1.916,idle
0.320,0.008,1.002,-5.794,-17.458,18.275,idle
0.261,-0.001,1.020,-6.977,-18.031,-8.130,idle
0.271,-0.025,1.007,-0.969,-22.863,0.527,idle
0.315,-0.031,0.958,-8.718,-9.198,-2.985,idle
0.253,-0.043,0.977,2.153,-12.595,3.244,idle
0.302,-0.039,0.913,2.015,-23.557,0.137,idle
0.325,-0.030,1.010,3.656,-36.893,5.962,idle
0.434,-0.064,0.824,24.313,-59.359,-3.656,idle
0.445,0.017,0.965,16.061,-55.893,29.794,idle
0.501,-0.017,0.913,3.298,-3.130,28.924,idle
0.324,0.008,0.993,35.824,30.298,33.153,idle
0.498,-0.020,1.034,-4.427,70.099,-28.221,idle
0.335,0.008,0.887,3.008,52.573,4.435,idle
0.409,-0.064,0.920,-14.076,29.702,-12.855,idle
0.190,-0.008,0.914,-1.389,3.977,-1.687,idle
0.296,-0.069,0.919,-3.023,6.412,-3.321,idle
0.327,-0.045,0.996,-2.458,-1.969,-2.916,idle
0.315,-0.040,1.004,0.076,20.664,-17.397,idle
0.303,-0.055,0.967,-3.908,4.641,-4.863,idle
0.311,-0.034,0.992,-1.809,-1.450,-0.351,idle
0.329,-0.053,0.950,0.939,-0.176,-1.557,idle
0.273,-0.048,0.974,1.389,-2.282,-3.985,idle
0.308,-0.037,0.939,-0.481,-8.260,2.718,idle
0.302,-0.051,0.998,4.656,-0.756,-6.763,idle
0.346,-0.055,0.984,-0.756,-10.473,-0.176,idle
0.305,-0.040,0.996,2.405,-0.206,-1.779,idle
0.344,-0.047,1.022,1.374,0.122,-3.885,idle
0.293,-0.042,0.977,0.588,-1.351,-0.687,idle
0.335,-0.044,0.985,-2.244,-1.466,0.160,idle
0.331,-0.051,0.962,5.718,3.802,-3.924,idle
0.326,-0.044,0.986,-1.977,0.855,-4.557,idle
0.320,-0.036,0.957,2.015,2.962,-0.336,idle
0.337,-0.041,0.953,4.427,8.458,-0.763,idle
0.318,-0.041,0.990,5.634,7.260,4.260,idle
0.316,-0.044,0.979,0.840,6.840,-1.641,idle
0.341,-0.046,0.965,2.931,5.168,1.962,idle
0.297,-0.049,0.983,-1.573,3.931,-1.832,idle
0.317,-0.041,0.969,0.656,4.366,-5.015,idle
0.332,-0.043,0.965,2.214,3.672,0.252,idle
0.322,-0.044,0.988,0.473,3.176,0.496,idle
0.315,-0.032,0.981,0.840,-0.076,1.924,idle
0.296,-0.036,0.959,-0.122,2.115,0.740,idle
0.347,-0.042,0.962,1.573,3.893,-0.237,idle
0.325,-0.036,0.972,0.130,3.863,0.687,idle
0.313,-0.042,0.973,2.511,3.618,1.122,idle
0.308,-0.041,0.966,3.076,3.641,-1.519,idle
0.321,-0.041,0.981,3.672,5.053,-0.076,idle
0.307,-0.046,0.980,1.672,3.374,-1.557,idle
0.309,-0.048,0.982,-0.794,2.237,1.275,idle
0.273,-0.058,0.977,2.985,3.565,0.244,idle
0.344,-0.056,0.983,1.084,3.443,-0.947,idle
0.309,-0.041,0.990,0.374,1.687,0.344,idle
0.297,-0.042,0.988,1.061,1.649,1.130,idle
0.296,-0.039,0.970,2.458,3.137,-3.038,idle
0.282,-0.030,0.963,0.954,2.565,0.656,idle
0.306,-0.046,0.972,2.031,3.084,-1.954,idle
0.329,-0.030,0.975,0.359,2.145,0.000,idle
0.312,-0.036,0.975,3.237,1.824,1.817,idle
0.290,-0.040,0.987,3.092,1.298,0.496,idle
0.304,-0.037,0.985,-1.344,4.176,-1.198,idle
0.313,-0.045,0.982,-0.565,2.427,0.863,idle
0.307,-0.045,0.981,1.618,3.237,-2.458,idle
0.305,-0.044,0.988,0.053,2.053,-0.084,idle
0.298,-0.041,0.979,2.634,3.099,-1.672,idle
0.302,-0.033,0.976,2.725,2.496,-0.687,idle
0.298,-0.043,0.995,0.511,2.870,0.718,idle
0.309,-0.043,0.971,2.634,1.176,0.824,idle
0.302,-0.039,0.984,1.176,1.992,0.183,idle
0.287,-0.044,0.969,3.672,1.725,0.099,idle
0.296,-0.050,0.987,1.328,3.237,1.588,idle
0.310,-0.044,0.987,2.786,2.237,-0.260,idle
0.297,-0.034,0.990,1.298,2.878,0.328,idle
0.303,-0.048,0.986,2.771,1.756,-1.863,idle
0.298,-0.044,0.958,1.870,3.260,-0.336,idle
0.283,-0.043,0.969,2.580,7.176,2.344,idle
0.260,-0.036,0.963,4.450,8.702,-0.031,idle
0.313,-0.043,0.972,2.099,7.145,-0.237,idle
0.279,-0.039,0.983,2.611,12.687,-4.473,idle
0.271,-0.030,0.980,-0.710,8.321,-2.084,idle
0.279,-0.042,1.004,0.664,6.252,-0.710,idle
0.273,-0.039,1.016,2.519,4.710,-2.168,idle
0.266,-0.030,0.999,1.160,2.153,0.237,idle
0.263,-0.040,0.989,0.679,3.931,1.435,idle
0.277,-0.039,0.979,3.260,3.901,-0.389,idle
0.259,-0.033,0.996,1.870,3.427,-1.527,idle
0.246,-0.036,0.993,3.366,3.939,0.160,idle
0.279,-0.032,1.009,-0.802,2.511,0.832,idle
0.242,-0.038,0.973,2.321,4.183,-0.679,idle
0.271,-0.036,0.975,3.061,2.603,0.817,idle
0.250,-0.042,1.006,3.038,3.802,0.824,idle
0.274,-0.037,1.003,2.779,2.855,-1.382,idle
0.267,-0.029,0.990,-1.275,4.198,1.489,idle
0.250,-0.036,1.006,2.588,3.420,-0.733,idle
0.250,-0.029,1.007,1.221,4.298,0.618,idle
0.243,-0.036,1.015,0.664,4.443,-1.107,idle
0.266,-0.038,1.000,1.481,3.000,0.008,idle
0.240,-0.039,0.995,3.023,2.435,-1.244,idle
0.254,-0.033,0.988,2.718,3.160,0.153,idle
0.241,-0.041,0.992,3.015,3.450,-0.504,idle
0.260,-0.037,1.007,1.527,2.947,-0.473,idle
0.239,-0.034,0.991,1.595,2.794,0.649,idle
0.236,-0.032,1.000,2.664,3.084,-0.725,idle
0.247,-0.027,0.993,2.282,4.534,-0.031,idle
0.249,-0.032,1.006,3.206,4.969,-0.557,idle
0.276,-0.033,0.987,5.191,3.145,-1.092,idle
0.249,-0.031,1.011,2.817,3.580,1.290,idle
0.239,-0.031,1.006,3.939,2.573,-0.336,idle
0.222,-0.029,1.020,3.748,2.160,-0.069,idle
0.232,-0.033,1.002,2.031,2.924,-0.656,idle
0.233,-0.029,1.012,1.282,3.733,-1.099,idle
0.234,-0.032,1.007,0.008,2.290,-0.473,idle
0.213,-0.025,1.001,0.420,4.725,-1.557,idle
0.217,-0.027,1.008,3.000,2.153,-0.924,idle
0.211,-0.023,0.982,2.794,3.176,-1.481,idle
0.246,-0.026,1.000,2.748,3.359,0.924,idle
0.229,-0.030,0.992,2.718,3.198,-0.641,idle
0.229,-0.024,1.008,4.267,2.695,0.237,idle
0.211,-0.031,0.984,1.779,1.191,0.725,idle
0.231,-0.028,0.996,2.794,3.122,-0.855,idle
0.246,-0.027,1.010,2.519,2.046,1.504,idle
0.216,-0.031,0.997,3.450,2.679,-1.267,idle
0.230,-0.019,1.014,2.069,2.817,-0.878,idle
0.219,-0.020,0.988,3.481,2.550,0.695,idle
0.237,-0.025,1.006,4.008,2.344,-1.763,idle
0.233,-0.020,1.025,0.565,2.481,1.221,idle
0.237,-0.027,1.005,-0.183,2.015,0.924,idle
0.228,-0.021,0.981,2.473,2.008,0.718,idle
0.221,-0.034,0.999,3.191,3.061,-0.321,idle
0.229,-0.023,1.000,1.076,2.420,-0.229,idle
0.220,-0.025,1.011,3.092,1.885,0.015,idle
0.230,-0.023,0.987,2.641,3.466,-0.641,idle
0.237,-0.017,1.003,1.008,1.366,0.740,idle
0.224,-0.022,0.992,1.969,4.298,-1.527,idle
0.218,-0.020,1.015,2.145,2.618,-0.794,idle
0.215,-0.018,0.997,0.901,1.641,0.733,idle
0.211,-0.021,0.997,2.008,2.550,-0.481,idle
0.224,-0.021,0.996,3.069,2.389,-0.359,idle
0.219,-0.019,1.006,0.916,2.901,-0.389,idle
0.235,-0.026,1.019,1.473,2.802,-0.588,idle
0.222,-0.026,1.002,1.176,2.832,0.221,idle
0.226,-0.030,1.002,3.336,1.321,0.267,idle
0.219,-0.026,1.009,2.160,2.901,-0.786,idle
0.218,-0.026,1.005,2.008,2.359,0.618,idle
0.231,-0.023,1.006,1.542,1.901,0.198,idle
0.224,-0.019,0.991,-0.015,3.550,0.481,idle
0.200,-0.024,1.005,3.824,0.962,-1.000,idle
0.236,-0.015,1.019,1.779,2.969,-0.481,idle
0.221,-0.020,0.990,2.672,3.275,-0.618,idle
0.227,-0.022,1.004,2.282,2.618,-0.031,idle
0.234,-0.017,0.996,0.153,3.046,0.672,idle
0.199,-0.023,1.012,2.756,2.031,-0.832,idle
0.244,-0.030,1.007,3.733,2.344,-2.832,idle
0.217,-0.022,1.010,1.695,1.214,0.519,idle
0.221,-0.027,1.006,0.305,2.115,-1.031,idle
0.238,-0.018,0.997,2.817,2.176,0.191,idle
0.195,-0.025,0.987,1.786,2.397,-0.061,idle
0.228,-0.024,1.000,1.916,2.099,-0.305,idle
0.226,-0.020,1.006,2.359,2.466,-0.641,idle
0.219,-0.027,1.002,3.328,3.069,-0.679,idle
0.200,-0.029,1.008,1.550,2.267,0.031,idle
0.214,-0.026,0.997,1.023,2.382,-1.168,idle
0.226,-0.021,1.002,2.405,2.198,0.336,idle
0.216,-0.024,0.999,2.191,2.542,-0.275,idle
0.212,-0.019,1.006,2.382,1.450,-0.244,idle
0.226,-0.021,0.997,2.649,1.931,-0.206,idle
0.208,-0.020,0.998,2.656,2.878,-0.511,idle
0.211,-0.029,1.000,3.267,3.168,-1.153,idle
0.221,-0.024,1.005,2.229,2.282,-0.214,idle
0.213,-0.024,1.009,0.908,3.321,-0.267,idle
0.214,-0.030,0.991,1.527,2.336,-0.397,idle
0.224,-0.019,1.016,2.237,2.076,-0.855,idle
0.237,-0.018,1.011,-0.718,2.656,-0.710,idle
