ax,ay,az,gx,gy,gz,label
0.235,0.101,1.030,-13.870,9.107,18.695,idle
0.188,0.081,0.930,-8.824,29.473,-4.008,idle
0.224,0.089,1.020,17.313,7.206,13.954,idle
0.182,0.078,1.016,-11.244,17.214,3.061,idle
0.171,0.034,0.892,19.244,19.038,4.473,idle
0.136,0.102,1.105,11.573,16.458,3.580,idle
0.159,0.101,0.998,7.672,6.374,4.557,idle
0.200,0.120,1.017,5.618,10.046,-0.817,idle
0.144,0.109,0.957,7.473,9.908,7.389,idle
0.165,0.106,1.035,15.603,8.168,3.008,idle
0.137,0.110,1.034,0.534,3.672,6.611,idle
0.149,0.125,1.034,6.153,4.412,0.008,idle
0.147,0.132,1.067,-5.260,-0.061,-0.481,idle
0.183,0.114,0.982,-11.618,11.504,-4.710,idle
0.080,0.095,0.938,3.183,-0.359,3.420,idle
0.149,0.098,1.052,4.229,-4.710,6.305,idle
0.167,0.091,1.058,-0.702,5.664,-7.351,idle
0.108,0.104,0.972,-4.985,-1.817,-0.901,idle
0.171,0.112,1.000,-2.473,1.840,-4.183,idle
0.177,0.110,0.985,10.756,-0.427,4.931,idle
0.099,0.113,1.001,10.282,2.969,0.206,idle
0.176,0.122,1.037,7.664,3.725,-2.947,idle
0.144,0.116,0.999,1.099,1.389,7.962,idle
0.135,0.125,1.032,9.008,1.893,-1.084,idle
0.157,0.121,0.985,-3.893,6.069,-4.947,idle
0.198,0.113,0.999,12.359,2.412,5.092,idle
0.098,0.129,1.009,7.420,3.115,2.023,idle
0.159,0.124,1.003,3.107,1.626,0.618,idle
0.158,0.133,1.032,5.351,2.473,0.908,idle
0.120,0.137,1.007,3.870,0.366,-1.069,idle
0.163,0.137,0.960,0.107,3.443,-2.740,idle
0.148,0.141,1.040,-1.252,0.580,6.435,idle
0.140,0.104,0.885,9.672,15.183,-4.031,idle
0.081,0.162,1.117,11.176,1.328,3.542,idle
0.134,0.142,0.954,0.511,7.092,-0.901,idle
0.107,0.161,1.088,1.733,-1.878,3.977,idle
0.174,0.138,0.960,-2.389,7.947,-4.687,idle
0.124,0.143,1.030,6.198,-0.191,3.786,idle
0.118,0.137,0.969,-3.664,7.458,-5.076,idle
0.137,0.138,1.000,12.382,-1.137,3.221,idle
0.135,0.144,1.048,-2.527,7.969,-3.160,idle
0.138,0.141,1.006,5.069,-0.534,1.260,idle
0.146,0.142,1.010,-4.672,3.496,-0.321,idle
0.128,0.145,1.007,5.160,1.145,2.000,idle
0.129,0.141,0.984,0.336,4.183,-0.176,idle
0.124,0.146,1.026,3.634,0.702,2.191,idle
0.104,0.143,0.995,2.489,5.748,-1.237,idle
0.137,0.142,1.006,5.687,2.015,0.985,idle
0.116,0.142,1.034,-0.344,2.817,0.282,idle
0.128,0.134,0.971,2.145,5.565,-3.099,idle
0.107,0.143,1.010,2.061,1.366,1.817,idle
0.142,0.144,1.014,3.107,3.191,-1.252,idle
0.132,0.140,0.990,-0.321,4.603,-0.267,idle
0.128,0.148,1.015,6.328,2.573,-0.718,idle
0.130,0.146,1.019,2.305,4.511,0.191,idle
0.128,0.138,0.980,-0.168,4.863,-0.702,idle
0.094,0.150,1.030,4.023,-1.878,5.351,idle
0.125,0.142,1.005,-2.382,6.214,-3.038,idle
0.131,0.141,1.012,7.389,0.954,0.679,idle
0.129,0.139,1.011,-0.107,7.924,-1.603,idle
0.083,0.138,1.019,8.405,-0.840,3.427,idle
0.126,0.146,1.036,-3.702,2.756,-1.565,idle
0.118,0.152,1.011,-5.420,1.366,2.084,idle
0.147,0.131,0.908,5.366,7.214,-2.832,idle
0.110,0.160,1.089,4.687,-0.191,6.122,idle
0.108,0.128,0.930,-0.221,8.885,-2.931,idle
0.102,0.143,1.063,14.053,-2.954,3.901,idle
0.108,0.142,0.990,-2.786,6.481,-3.038,idle
0.122,0.151,1.019,8.122,-0.847,0.824,idle
0.096,0.156,1.034,-3.626,3.046,-1.435,idle
0.117,0.144,0.980,2.565,-0.557,1.366,idle
0.107,0.153,1.022,-3.519,3.145,-1.534,idle
0.105,0.136,0.979,3.366,-1.405,0.718,idle
0.108,0.142,1.009,1.939,2.206,-1.641,idle
0.170,0.149,1.031,4.221,4.634,2.267,idle
0.104,0.147,0.983,6.008,4.687,-1.214,idle
0.110,0.148,1.050,-2.107,4.405,-1.344,idle
0.141,0.141,0.973,6.580,0.031,3.099,idle
0.069,0.160,1.046,-0.321,1.626,-1.115,idle
0.149,0.139,0.962,4.740,3.137,-2.466,idle
0.118,0.160,1.044,6.947,0.130,2.458,idle
0.128,0.153,1.006,-1.168,3.557,-1.588,idle
0.117,0.153,1.021,2.786,1.687,1.794,idle
0.126,0.146,1.008,3.275,4.618,-2.863,idle
0.087,0.157,1.014,-2.771,0.969,0.924,idle
0.139,0.148,0.999,0.969,4.702,-3.504,idle
0.133,0.146,1.023,5.008,1.198,0.435,idle
0.091,0.148,1.000,-3.244,0.649,-1.237,idle
0.119,0.147,1.026,0.336,-5.641,-2.168,idle
0.155,0.135,0.967,-6.603,2.908,-5.008,idle
0.122,0.147,1.040,9.389,-6.702,3.565,idle
0.132,0.138,0.972,-3.527,0.466,-2.649,idle
0.147,0.153,1.014,4.718,-2.580,-0.954,idle
0.152,0.140,1.007,1.344,-4.786,-3.160,idle
0.178,0.140,1.016,3.771,-12.504,2.809,idle
0.133,0.145,1.012,-5.206,-8.672,-1.321,idle
0.180,0.138,0.994,-2.473,-4.893,-2.450,idle
0.165,0.129,1.002,-3.595,-3.359,-1.985,idle
0.209,0.134,1.003,-0.725,0.206,-2.107,idle
0.205,0.129,0.990,2.870,-1.611,0.687,idle
0.195,0.136,1.021,-1.489,-0.153,0.649,idle
0.192,0.126,0.985,2.084,-0.160,0.511,idle
0.193,0.129,0.999,2.481,-0.305,0.832,idle
0.218,0.125,0.996,3.000,1.870,-0.458,idle
0.186,0.129,1.000,0.328,-0.191,0.176,idle
0.208,0.126,0.995,2.183,2.206,-1.198,idle
0.202,0.126,1.012,1.931,1.344,3.031,idle
0.216,0.128,0.977,0.580,3.802,-1.206,idle
0.189,0.125,1.009,2.221,1.542,0.443,idle
0.208,0.124,1.001,0.977,3.290,2.809,idle
0.181,0.125,1.003,2.389,1.832,-0.473,idle
0.214,0.125,1.004,-3.000,1.061,0.382,idle
0.190,0.117,0.968,3.099,2.053,1.763,idle
0.176,0.125,0.997,4.847,3.458,-0.481,idle
0.202,0.127,1.014,2.046,2.924,-0.321,idle
0.206,0.121,0.982,1.725,5.710,-1.145,idle
0.219,0.126,1.019,8.824,5.275,7.824,idle
0.182,0.129,1.007,-0.954,7.679,-3.122,idle
0.181,0.125,0.973,7.305,1.580,2.817,idle
0.173,0.128,1.011,-0.137,4.992,0.473,idle
0.211,0.131,1.005,4.870,3.443,-1.237,idle
0.192,0.125,0.987,0.496,3.687,0.947,idle
0.172,0.138,1.012,3.718,2.069,-0.046,idle
0.198,0.131,1.004,1.580,3.031,-0.687,idle
0.188,0.131,0.994,2.061,3.489,-0.542,idle
0.188,0.129,0.990,3.771,1.626,1.107,idle
0.164,0.124,0.994,3.084,0.725,-1.145,idle
0.198,0.128,0.961,8.229,0.160,-0.565,idle
0.193,0.088,1.022,10.458,2.656,2.893,idle
0.186,0.148,1.010,2.916,-0.298,0.099,idle
0.245,0.146,1.004,-0.290,0.511,2.519,idle
0.178,0.152,1.003,-1.229,0.664,3.634,idle
0.195,0.143,0.981,0.626,2.985,1.763,idle
0.176,0.139,0.995,1.405,4.542,0.450,idle
0.183,0.136,1.014,3.443,1.183,1.130,idle
0.189,0.132,1.002,-4.481,5.809,-0.542,idle
0.156,0.129,0.997,5.496,-3.794,1.107,idle
0.188,0.129,0.978,-9.519,4.618,-3.626,idle
0.211,0.141,1.004,9.031,-6.382,4.947,idle
0.201,0.136,0.994,-6.076,5.794,-3.687,idle
0.184,0.126,0.990,8.382,-1.893,2.214,idle
0.196,0.134,1.031,-3.198,3.977,-1.618,idle
0.185,0.132,0.964,0.870,-0.977,1.466,idle
0.195,0.129,0.989,4.718,1.817,-1.084,idle
0.208,0.135,1.028,5.115,-0.412,1.023,idle
0.223,0.131,1.003,-1.473,2.527,0.809,idle
0.181,0.135,1.000,1.573,2.916,-0.031,idle
0.179,0.131,0.987,1.290,1.863,0.511,idle
0.180,0.127,0.983,0.206,2.344,-0.038,idle
0.193,0.131,1.022,4.641,0.473,-0.275,idle
0.196,0.126,0.983,0.069,3.221,-1.565,idle
0.198,0.135,1.017,2.191,1.504,-0.527,idle
0.207,0.131,0.981,-1.237,2.740,-0.748,idle
0.190,0.132,1.005,2.137,0.550,0.107,idle
0.193,0.133,0.981,2.779,-1.130,3.267,idle
0.197,0.129,1.013,1.084,0.939,0.740,idle
0.202,0.124,0.995,3.611,2.420,-1.153,idle
0.221,0.122,1.004,-1.931,3.550,-2.015,idle
0.216,0.125,1.010,5.496,-0.489,0.031,idle
0.202,0.128,0.979,0.115,4.282,-2.069,idle
0.188,0.134,1.015,4.321,2.282,-0.626,idle
0.222,0.127,0.973,0.046,4.328,0.267,idle
0.164,0.130,1.001,3.290,0.412,0.893,idle
0.214,0.127,0.989,6.908,3.718,-2.046,idle
0.206,0.132,1.004,0.527,6.863,-2.771,idle
0.201,0.129,1.000,6.565,0.641,2.344,idle
0.180,0.129,0.985,-0.794,2.412,-1.832,idle
0.213,0.129,0.998,1.840,1.817,-0.725,idle
0.216,0.135,1.014,3.053,1.336,0.076,idle
0.205,0.131,0.959,3.466,3.076,-2.107,idle
0.198,0.140,1.028,3.771,0.870,0.771,idle
0.200,0.131,0.974,1.244,1.718,0.588,idle
0.204,0.143,1.017,1.534,0.710,-0.008,idle
0.219,0.132,0.977,-0.046,4.725,-1.420,idle
0.194,0.143,1.003,3.748,0.626,1.015,idle
0.247,0.125,0.990,3.794,0.519,2.397,idle
0.196,0.140,1.040,-2.252,2.588,0.473,idle
0.245,0.126,0.937,1.588,3.466,-0.588,idle
0.206,0.146,1.037,9.641,-0.206,2.420,idle
0.164,0.136,0.967,-3.107,2.992,0.023,idle
0.216,0.142,1.013,7.122,-0.206,0.137,idle
0.206,0.140,1.001,-1.885,5.954,-1.435,idle
0.210,0.136,0.979,5.298,-0.458,2.511,idle
0.210,0.141,1.030,-1.557,3.435,-1.908,idle
0.215,0.127,0.943,7.710,1.237,1.466,idle
0.188,0.147,1.050,-2.328,2.924,-1.794,idle
0.226,0.133,0.962,4.702,-3.244,3.779,idle
0.197,0.144,1.005,-1.031,4.718,-2.092,idle
0.223,0.138,0.982,2.863,4.038,-0.672,idle
0.173,0.140,0.995,3.038,-0.664,3.466,idle
0.201,0.135,0.990,-0.756,4.580,-2.344,idle
0.196,0.143,0.996,5.588,-0.855,4.137,idle
0.195,0.141,0.985,1.084,4.664,-1.908,idle
0.211,0.142,1.021,4.405,0.611,2.023,idle
0.190,0.139,0.979,0.672,3.206,0.183,idle
0.205,0.146,1.008,3.130,-0.382,0.832,idle
0.219,0.142,0.996,1.130,1.672,0.763,idle
0.198,0.140,0.997,2.565,2.916,0.916,idle
0.203,0.140,1.004,3.458,2.733,0.168,idle
0.203,0.135,0.987,-0.863,2.947,0.244,idle
